id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes
ise_devmath_whole_001,Compute 120 - 18 x 4.,48,multiple_choice,A:48|B:106|C:408|D:192|E:66,1,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 18 x 4 = 72. Then 120 - 72 = 48.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2100,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_002,Compute 127 - 19 x 5.,32,multiple_choice,A:113|B:540|C:222|D:51|E:32,1,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 19 x 5 = 95. Then 127 - 95 = 32.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2101,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_003,Compute 134 - 20 x 6.,14,multiple_choice,A:684|B:254|C:34|D:14|E:120,1,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 20 x 6 = 120. Then 134 - 120 = 14.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2102,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_004,Compute 141 - 21 x 7.,-6,multiple_choice,A:288|B:15|C:-6|D:127|E:840,1,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 21 x 7 = 147. Then 141 - 147 = -6.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2103,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_005,Compute 148 - 22 x 8.,-28,multiple_choice,A:-6|B:-28|C:134|D:1008|E:324,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 22 x 8 = 176. Then 148 - 176 = -28.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2104,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_006,Compute 155 - 23 x 4.,63,multiple_choice,A:63|B:136|C:528|D:247|E:86,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 23 x 4 = 92. Then 155 - 92 = 63.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2105,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_007,Compute 162 - 24 x 5.,42,multiple_choice,A:143|B:690|C:282|D:66|E:42,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 24 x 5 = 120. Then 162 - 120 = 42.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2106,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_008,Compute 169 - 25 x 6.,19,multiple_choice,A:864|B:319|C:44|D:19|E:150,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 25 x 6 = 150. Then 169 - 150 = 19.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2107,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_009,Compute 176 - 26 x 7.,-6,multiple_choice,A:358|B:20|C:-6|D:157|E:1050,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 26 x 7 = 182. Then 176 - 182 = -6.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2108,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
ise_devmath_whole_010,Compute 183 - 27 x 8.,-33,multiple_choice,A:-6|B:-33|C:164|D:1248|E:399,2,arith_natural_numbers,computation,operation_order;fluency_precision,operation_error;structure_misread,Use multiplication first: 27 x 8 = 216. Then 183 - 216 = -33.,Pre-Algebra,Number Systems and Operations,ise-devmath-01-whole-numbers,Whole Numbers and Order of Operations,2109,ise_developmental_math_2e,datasets/textbooks/ise-developmental-mathematics-2e/original_equivalent_v0; Chapter 1 Whole Numbers,Foundation,Foundation,computation,operation_order;fluency_precision,75,Original-equivalent item generated from ISE Developmental Mathematics 2e coverage signals.
