problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_jzs_jr_g9_pilot_001,先确定二次项系数 a 和一次项系数 b。,对称轴公式是 x=-b/(2a)。,Step 1: 先确定二次项系数 a 和一次项系数 b。 Step 2: 二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-4$，所以 $$x=2$$。 Step 3: 得到答案 2。,漏掉负号，或把常数项 c 当成 b。,答案 2 正确。二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-4$，所以 $$x=2$$。,进一步代入对称轴求顶点纵坐标。
cn_jzs_jr_g9_pilot_002,先确定二次项系数 a 和一次项系数 b。,对称轴公式是 x=-b/(2a)。,Step 1: 先确定二次项系数 a 和一次项系数 b。 Step 2: 二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-6$，所以 $$x=3$$。 Step 3: 得到答案 3。,漏掉负号，或把常数项 c 当成 b。,答案 3 正确。二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-6$，所以 $$x=3$$。,进一步代入对称轴求顶点纵坐标。
cn_jzs_jr_g9_pilot_003,先确定二次项系数 a 和一次项系数 b。,对称轴公式是 x=-b/(2a)。,Step 1: 先确定二次项系数 a 和一次项系数 b。 Step 2: 二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=2$，$b=-8$，所以 $$x=2$$。 Step 3: 得到答案 2。,漏掉负号，或把常数项 c 当成 b。,答案 2 正确。二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=2$，$b=-8$，所以 $$x=2$$。,进一步代入对称轴求顶点纵坐标。
cn_jzs_jr_g9_pilot_004,先确定二次项系数 a 和一次项系数 b。,对称轴公式是 x=-b/(2a)。,Step 1: 先确定二次项系数 a 和一次项系数 b。 Step 2: 二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=2$，所以 $$x=-1$$。 Step 3: 得到答案 -1。,漏掉负号，或把常数项 c 当成 b。,答案 -1 正确。二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=2$，所以 $$x=-1$$。,进一步代入对称轴求顶点纵坐标。
cn_jzs_jr_g9_pilot_005,先确定二次项系数 a 和一次项系数 b。,对称轴公式是 x=-b/(2a)。,Step 1: 先确定二次项系数 a 和一次项系数 b。 Step 2: 二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=2$，$b=4$，所以 $$x=-1$$。 Step 3: 得到答案 -1。,漏掉负号，或把常数项 c 当成 b。,答案 -1 正确。二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=2$，$b=4$，所以 $$x=-1$$。,进一步代入对称轴求顶点纵坐标。
cn_jzs_jr_g9_pilot_006,先确定二次项系数 a 和一次项系数 b。,对称轴公式是 x=-b/(2a)。,Step 1: 先确定二次项系数 a 和一次项系数 b。 Step 2: 二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-10$，所以 $$x=5$$。 Step 3: 得到答案 5。,漏掉负号，或把常数项 c 当成 b。,答案 5 正确。二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-10$，所以 $$x=5$$。,进一步代入对称轴求顶点纵坐标。
cn_jzs_jr_g9_pilot_007,观察常数项和一次项系数，寻找两个数的和与积。,分解后用零乘积性质求根。,Step 1: 观察常数项和一次项系数，寻找两个数的和与积。 Step 2: 该方程可分解为 (x-2)(x-5)=0，所以 $$x=2$$ 或 $$x=5$$。 Step 3: 得到答案 2或5。,分解后把根的符号写反。,答案 2或5 正确。该方程可分解为 (x-2)(x-5)=0，所以 $$x=2$$ 或 $$x=5$$。,给出两个根，反写二次方程。
cn_jzs_jr_g9_pilot_008,观察常数项和一次项系数，寻找两个数的和与积。,分解后用零乘积性质求根。,Step 1: 观察常数项和一次项系数，寻找两个数的和与积。 Step 2: 该方程可分解为 (x-3)(x-7)=0，所以 $$x=3$$ 或 $$x=7$$。 Step 3: 得到答案 3或7。,分解后把根的符号写反。,答案 3或7 正确。该方程可分解为 (x-3)(x-7)=0，所以 $$x=3$$ 或 $$x=7$$。,给出两个根，反写二次方程。
cn_jzs_jr_g9_pilot_009,观察常数项和一次项系数，寻找两个数的和与积。,分解后用零乘积性质求根。,Step 1: 观察常数项和一次项系数，寻找两个数的和与积。 Step 2: 该方程可分解为 (x--1)(x-4)=0，所以 $$x=-1$$ 或 $$x=4$$。 Step 3: 得到答案 -1或4。,分解后把根的符号写反。,答案 -1或4 正确。该方程可分解为 (x--1)(x-4)=0，所以 $$x=-1$$ 或 $$x=4$$。,给出两个根，反写二次方程。
cn_jzs_jr_g9_pilot_010,观察常数项和一次项系数，寻找两个数的和与积。,分解后用零乘积性质求根。,Step 1: 观察常数项和一次项系数，寻找两个数的和与积。 Step 2: 该方程可分解为 (x--2)(x-6)=0，所以 $$x=-2$$ 或 $$x=6$$。 Step 3: 得到答案 -2或6。,分解后把根的符号写反。,答案 -2或6 正确。该方程可分解为 (x--2)(x-6)=0，所以 $$x=-2$$ 或 $$x=6$$。,给出两个根，反写二次方程。
