problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_jzs_jr_g8_b4_001,先用一组对应边求出相似比。,再把这个相似比应用到另一组对应边。,Step 1: 先用一组对应边求出相似比。 Step 2: 相似比为 10:4，所以对应边长为 $6 \\times 10$÷4=15。 Step 3: 得到答案 15。,把边长差当成固定差值，忽略相似比。,答案 15 正确。相似比为 10:4，所以对应边长为 $6 \\times 10$÷4=15。,给出大图形边长，反求小图形对应边。
cn_jzs_jr_g8_b4_002,先用一组对应边求出相似比。,再把这个相似比应用到另一组对应边。,Step 1: 先用一组对应边求出相似比。 Step 2: 相似比为 20:5，所以对应边长为 $7 \\times 20$÷5=28。 Step 3: 得到答案 28。,把边长差当成固定差值，忽略相似比。,答案 28 正确。相似比为 20:5，所以对应边长为 $7 \\times 20$÷5=28。,给出大图形边长，反求小图形对应边。
cn_jzs_jr_g8_b4_003,先用一组对应边求出相似比。,再把这个相似比应用到另一组对应边。,Step 1: 先用一组对应边求出相似比。 Step 2: 相似比为 15:6，所以对应边长为 $8 \\times 15$÷6=20。 Step 3: 得到答案 20。,把边长差当成固定差值，忽略相似比。,答案 20 正确。相似比为 15:6，所以对应边长为 $8 \\times 15$÷6=20。,给出大图形边长，反求小图形对应边。
cn_jzs_jr_g8_b4_004,先用一组对应边求出相似比。,再把这个相似比应用到另一组对应边。,Step 1: 先用一组对应边求出相似比。 Step 2: 相似比为 12:3，所以对应边长为 $5 \\times 12$÷3=20。 Step 3: 得到答案 20。,把边长差当成固定差值，忽略相似比。,答案 20 正确。相似比为 12:3，所以对应边长为 $5 \\times 12$÷3=20。,给出大图形边长，反求小图形对应边。
cn_jzs_jr_g8_b4_005,先用一组对应边求出相似比。,再把这个相似比应用到另一组对应边。,Step 1: 先用一组对应边求出相似比。 Step 2: 相似比为 18:8，所以对应边长为 $12 \\times 18$÷8=27。 Step 3: 得到答案 27。,把边长差当成固定差值，忽略相似比。,答案 27 正确。相似比为 18:8，所以对应边长为 $12 \\times 18$÷8=27。,给出大图形边长，反求小图形对应边。
cn_jzs_jr_g8_b4_006,先用一组对应边求出相似比。,再把这个相似比应用到另一组对应边。,Step 1: 先用一组对应边求出相似比。 Step 2: 相似比为 21:7，所以对应边长为 $9 \\times 21$÷7=27。 Step 3: 得到答案 27。,把边长差当成固定差值，忽略相似比。,答案 27 正确。相似比为 21:7，所以对应边长为 $9 \\times 21$÷7=27。,给出大图形边长，反求小图形对应边。
cn_jzs_jr_g8_b4_007,先用三角形内角和求出缺少的角。,再用平行线中的对应角或内错角关系转移角度。,Step 1: 先用三角形内角和求出缺少的角。 Step 2: 先求第三个内角：180°-48°-62°=70°。平行线产生的对应角相等，所以目标角也是 70°。 Step 3: 得到答案 70。,只看平行线关系，忘记先求三角形中的第三个角。,答案 70 正确。先求第三个内角：180°-48°-62°=70°。平行线产生的对应角相等，所以目标角也是 70°。,把其中一个角设为未知数，建立方程求角度。
cn_jzs_jr_g8_b4_008,先用三角形内角和求出缺少的角。,再用平行线中的对应角或内错角关系转移角度。,Step 1: 先用三角形内角和求出缺少的角。 Step 2: 先求第三个内角：180°-35°-85°=60°。平行线产生的对应角相等，所以目标角也是 60°。 Step 3: 得到答案 60。,只看平行线关系，忘记先求三角形中的第三个角。,答案 60 正确。先求第三个内角：180°-35°-85°=60°。平行线产生的对应角相等，所以目标角也是 60°。,把其中一个角设为未知数，建立方程求角度。
cn_jzs_jr_g8_b4_009,先用三角形内角和求出缺少的角。,再用平行线中的对应角或内错角关系转移角度。,Step 1: 先用三角形内角和求出缺少的角。 Step 2: 先求第三个内角：180°-44°-71°=65°。平行线产生的对应角相等，所以目标角也是 65°。 Step 3: 得到答案 65。,只看平行线关系，忘记先求三角形中的第三个角。,答案 65 正确。先求第三个内角：180°-44°-71°=65°。平行线产生的对应角相等，所以目标角也是 65°。,把其中一个角设为未知数，建立方程求角度。
cn_jzs_jr_g8_b4_010,先用三角形内角和求出缺少的角。,再用平行线中的对应角或内错角关系转移角度。,Step 1: 先用三角形内角和求出缺少的角。 Step 2: 先求第三个内角：180°-52°-58°=70°。平行线产生的对应角相等，所以目标角也是 70°。 Step 3: 得到答案 70。,只看平行线关系，忘记先求三角形中的第三个角。,答案 70 正确。先求第三个内角：180°-52°-58°=70°。平行线产生的对应角相等，所以目标角也是 70°。,把其中一个角设为未知数，建立方程求角度。
