problem_id,choice_label,value,misconception,cognitive_tag,explanation
cn_jzs_g1-number-patterns_001,B,8,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_001,C,12,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_001,D,9,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_001,E,15,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_002,A,12,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_002,B,18,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_002,C,14,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_002,D,20,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_003,A,24,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_003,B,19,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_003,C,25,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_003,E,16,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_004,A,24,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_004,B,30,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_004,D,20,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_004,E,30,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_005,A,19,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_005,C,12,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_005,D,16,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_005,E,13,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_006,B,11,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_006,C,17,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_006,D,13,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_006,E,19,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_007,A,15,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_007,B,23,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_007,C,18,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_007,D,24,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_008,A,29,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_008,B,23,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_008,C,29,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_008,E,19,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_009,A,12,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_009,B,18,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_009,D,11,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_009,E,15,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_010,A,23,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_010,C,15,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_010,D,21,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_g1-number-patterns_010,E,17,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
