id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_elem_b6_g1_001,"观察数列：347, 350, 353, 356, __。空格里应填多少？",359,multiple_choice,A:359|B:356|C:362|D:358|E:364,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 3，所以最后一个已知数 356 后面再加 3，得到 359。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17000,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0171; pages=159-159; lesson=6; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_002,"观察数列：348, 349, 350, 351, __。空格里应填多少？",352,multiple_choice,A:351|B:353|C:356|D:357|E:352,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 1，所以最后一个已知数 351 后面再加 1，得到 352。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17001,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0177; pages=161-161; lesson=7; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_003,"观察数列：349, 351, 353, 355, __。空格里应填多少？",357,multiple_choice,A:359|B:356|C:362|D:357|E:355,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 2，所以最后一个已知数 355 后面再加 2，得到 357。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17002,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0182; pages=163-163; lesson=8; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_004,"观察数列：350, 353, 356, 359, __。空格里应填多少？",362,multiple_choice,A:361|B:367|C:362|D:359|E:365,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 3，所以最后一个已知数 359 后面再加 3，得到 362。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17003,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0187; pages=165-165; lesson=9; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_005,"观察数列：351, 352, 353, 354, __。空格里应填多少？",355,multiple_choice,A:360|B:355|C:354|D:356|E:359,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 1，所以最后一个已知数 354 后面再加 1，得到 355。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17004,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0188; pages=165-165; lesson=9; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_006,"观察数列：352, 354, 356, 358, __。空格里应填多少？",360,multiple_choice,A:360|B:358|C:362|D:359|E:365,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 2，所以最后一个已知数 358 后面再加 2，得到 360。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17005,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0191; pages=166-166; lesson=10; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_007,"观察数列：353, 356, 359, 362, __。空格里应填多少？",365,multiple_choice,A:362|B:368|C:364|D:370|E:365,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 3，所以最后一个已知数 362 后面再加 3，得到 365。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17006,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0193; pages=166-166; lesson=10; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_008,"观察数列：354, 355, 356, 357, __。空格里应填多少？",358,multiple_choice,A:359|B:362|C:363|D:358|E:357,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 1，所以最后一个已知数 357 后面再加 1，得到 358。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17007,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0196; pages=168-169; lesson=11; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_009,"观察数列：355, 357, 359, 361, __。空格里应填多少？",363,multiple_choice,A:362|B:368|C:363|D:361|E:365,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 2，所以最后一个已知数 361 后面再加 2，得到 363。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17008,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0197; pages=169-169; lesson=11; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_b6_g1_010,"观察数列：356, 359, 362, 365, __。空格里应填多少？",368,multiple_choice,A:373|B:368|C:365|D:371|E:367,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 3，所以最后一个已知数 365 后面再加 3，得到 368。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,17009,jianzisheng_cn_elementary_batch6_v0,尖子生高分题库1年级.pdf; block=grade1_b0204; pages=173-173; lesson=13; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,batch6 Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
