statement,answer,wrongs,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,hint1,hint2,commonMistake,variantIdea,curriculumSystem,displayTrack,gradeBand,id,answer_type,choices,language,curriculum_system,region,display_track,grade_band,content_status
计算：3/4 + 1/8 = ?,7/8,"4/12,1/2,5/8,3/8",2,arith_fractions,common_denominator;fraction_addition,part_whole_reasoning;denominator_alignment,add_denominators_error;equivalent_fraction_error,先通分，3/4 = 6/8，所以 6/8 + 1/8 = 7/8。,CN Primary Math,数与运算,cn-primary-01-fractions,小学分数运算,12000,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Foundation,Foundation,cn_fraction_computation,part_whole_reasoning;fluency_precision,75,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,先看两个分母是否相同。,把 3/4 化成分母为 8 的分数。,把分子和分母分别相加，得到 4/12。,换成异分母分数减法，继续练习通分。,CN,中文校内,小学,cn_pilot_001,multiple_choice,A:7/8|B:4/12|C:1/2|D:5/8|E:3/8,zh,CN,CN,中文校内,小学,pilot
一件商品原价 80 元，降价 25% 后售价是多少元？,60,"55,75,20,100",3,arith_percentages;arith_ratios,percent_discount;proportional_reasoning,percent_of_quantity;multiplicative_reasoning,percent_base_error;additive_percent_error,降价 25% 表示少付 80 x 25% = 20 元，所以售价是 80 - 20 = 60 元。,CN Primary Math,百分数与应用题,cn-primary-02-percent-word-problems,小学百分数应用题,12020,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Standard,Bridge,cn_percent_word_problem,multiplicative_reasoning;modeling_transfer,95,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,先求降价了多少钱。,25% 可以看成 1/4。,直接用 80 - 25，忽略 25% 是比例不是 25 元。,把降价改成涨价，比较新价格。,CN,中文校内,小学,cn_pilot_002,multiple_choice,A:55|B:75|C:20|D:100|E:60,zh,CN,CN,中文校内,小学,pilot
解方程：2x + 5 = 17。,6,"11,12,5,7",3,alg_linear_equations;prealg_expressions,one_variable_equation;inverse_operations,linear_equation_structure;equation_balance,inverse_operation_order_error;constant_term_error,两边先减 5，得到 2x = 12；再两边除以 2，得到 x = 6。,CN Junior High Math,方程与代数,cn-junior-01-linear-equations,初中一元一次方程,12100,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Standard,Algebra Readiness,cn_linear_equation_solving,inverse_operations;symbolic_fluency,80,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,先把常数项移到等号右边。,最后把 x 的系数化为 1。,先除以 2 时没有同时处理 +5。,加入括号，变成 3(x - 2) = 12。,CN,中文校内,初中,cn_pilot_003,multiple_choice,A:12|B:5|C:7|D:6|E:11,zh,CN,CN,中文校内,初中,pilot
分解因式：x^2 + 5x + 6。,(x+2)(x+3),"(x+1)(x+6),(x-2)(x-3),x(x+5)+6,(x+2)(x-3)",4,alg_factoring;alg_quadratics,quadratic_factorization;factor_pair_reasoning,trinomial_factor_pattern;structure_recognition,factor_pair_error;sign_error,寻找两个数，使乘积为 6、和为 5，这两个数是 2 和 3，所以 x^2 + 5x + 6 = (x+2)(x+3)。,CN Junior High Math,整式与因式分解,cn-junior-02-factorization,初中因式分解,12120,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Standard,Algebra Readiness,cn_factorization,factor_structure;structure_recognition,100,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,看常数项 6 的因数对。,找乘积是 6、和是 5 的一组数。,只看乘积，不检查一次项系数。,换成 x^2 - 5x + 6，比较符号变化。,CN,中文校内,初中,cn_pilot_004,multiple_choice,A:x(x+5)+6|B:(x+2)(x-3)|C:(x+2)(x+3)|D:(x+1)(x+6)|E:(x-2)(x-3),zh,CN,CN,中文校内,初中,pilot
已知一次函数 y = 2x - 3，当 x = 5 时，y 的值是多少？,7,"10,13,2,-7",3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,把 x = 5 代入 y = 2x - 3，得到 y = 2 x 5 - 3 = 10 - 3 = 7。,CN Junior High Math,函数初步,cn-junior-03-linear-functions,初中一次函数,12140,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Standard,Algebra Readiness,cn_function_evaluation,input_output_mapping;symbol_evaluation,80,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,把给定的 x 值代入函数表达式。,先算 2 x 5，再减 3。,把 2x - 3 误算成 2 + x - 3。,给定 y 的值，反求 x。,CN,中文校内,初中,cn_pilot_005,multiple_choice,A:-7|B:7|C:10|D:13|E:2,zh,CN,CN,中文校内,初中,pilot
解方程：x^2 - 5x + 6 = 0。,"2,3","-2,-3,1,6,5,6,2,-3",4,alg_quadratics;alg_factoring,quadratic_solving;zero_product_property,quadratic_factor_pattern;root_finding,sign_error;factor_pair_error,x^2 - 5x + 6 = (x-2)(x-3)，所以 x = 2 或 x = 3。,CN Senior High Math,函数与方程,cn-senior-01-quadratic-equations,高中二次方程,12200,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Standard,Algebra Readiness,cn_quadratic_solving,factor_structure;operation_selection,110,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,先尝试因式分解。,因式为 0 时，每个括号分别等于 0。,把因式中的符号直接当成根的符号。,换成不能直接分解的二次方程，使用公式法。,CN,中文校内,高中,cn_pilot_006,multiple_choice,"A:2,3|B:-2,-3|C:1,6|D:5,6|E:2,-3",zh,CN,CN,中文校内,高中,pilot
函数 y = (x - 2)^2 + 1 的顶点坐标是？,"(2,1)","(-2,1),(2,-1),(-2,-1),(1,2)",4,alg_quadratics;alg_functions,vertex_form;graph_feature_identification,quadratic_structure;coordinate_reasoning,vertex_sign_error;coordinate_order_error,"二次函数顶点式 y = (x - h)^2 + k 的顶点是 (h, k)。这里 h = 2，k = 1，所以顶点是 (2,1)。",CN Senior High Math,函数与图像,cn-senior-02-quadratic-functions,高中二次函数图像,12220,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Honors,Algebra Readiness,cn_quadratic_graphing,structure_recognition;coordinate_reasoning,100,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,识别顶点式。,"(x - h)^2 + k 对应顶点 (h, k)。",看到 x - 2 就把横坐标写成 -2。,给出一般式，先配方再找顶点。,CN,中文校内,高中,cn_pilot_007,multiple_choice,"A:(-2,1)|B:(2,-1)|C:(-2,-1)|D:(1,2)|E:(2,1)",zh,CN,CN,中文校内,高中,pilot
一个三角形的三个角度数之比为 2:3:4，最大的角是多少度？,80,"40,60,90,100",3,geo_triangle_angles;arith_ratios,ratio_partition;triangle_angle_sum,part_whole_reasoning;geometry_modeling,ratio_sum_error;angle_sum_error,三角形内角和为 180 度。比例总份数是 2+3+4=9，每份是 180/9=20 度，最大角是 4 份，即 80 度。,CN Junior High Math,几何基础,cn-junior-04-triangle-angles,初中三角形内角,12160,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Standard,Bridge,cn_geometry_ratio_angle,geometric_reasoning;multiplicative_reasoning,95,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,先用三角形内角和。,把 180 度按 2:3:4 分成 9 份。,直接把最大角看成 4 度或 4/9 度。,给出两个角的比和第三个角，反求最大角。,CN,中文校内,初中,cn_pilot_008,multiple_choice,A:60|B:90|C:100|D:80|E:40,zh,CN,CN,中文校内,初中,pilot
从 1 到 20 的整数中，能被 3 整除的数有多少个？,6,"5,7,3,20",2,nt_divisibility;arith_natural_numbers,divisibility_counting;multiples,multiple_structure;counting_sequence,endpoint_count_error;divisor_count_confusion,"1 到 20 中 3 的倍数是 3, 6, 9, 12, 15, 18，共 6 个。",CN Olympiad Lite,数论启蒙,cn-olympiad-lite-01-divisibility,中文奥数 Lite：整除与倍数,12300,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Foundation,Bridge,cn_divisibility_counting,number_structure;fluency_precision,70,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,列出 3 的倍数。,注意不要超过 20。,把 20/3 的余数处理错，导致多算或少算。,改成同时能被 2 和 3 整除的数。,Olympiad,中文奥数 Lite,小学-初中,cn_pilot_009,multiple_choice,A:3|B:20|C:6|D:5|E:7,zh,Olympiad,CN,中文奥数 Lite,小学-初中,pilot
有 5 个不同的小球排成一排，一共有多少种排法？,120,"25,10,60,24",4,counting_permutations;counting_principle,permutation_counting;multiplication_principle,factorial_structure;ordered_arrangement,combination_permutation_confusion;multiplication_principle_error,第 1 个位置有 5 种选择，第 2 个位置有 4 种，依次为 5 x 4 x 3 x 2 x 1 = 120。,CN Olympiad Lite,计数启蒙,cn-olympiad-lite-02-counting,中文奥数 Lite：排列与计数,12320,cn_curriculum_pilot_v0,project-native: cn curriculum pilot v0,Honors,AMC8 Transfer,cn_permutation_counting,counting_structure;multi_step_planning,110,Original project-native Chinese pilot item. No external textbook exercise text is reproduced.,按位置逐个考虑选择数。,每放好一个球，剩下可选的小球数少 1。,把每个位置都当成有 5 种选择，得到 25 或 5^5。,加入限制条件，例如某个球必须在最左边。,Olympiad,中文奥数 Lite,小学-初中,cn_pilot_010,multiple_choice,A:24|B:120|C:25|D:10|E:60,zh,Olympiad,CN,中文奥数 Lite,小学-初中,pilot
