problem_id,choice_label,value,misconception,cognitive_tag,explanation
college_alg_real_001,B,22,operation_error,operation_order,This choice reflects operation error.
college_alg_real_001,C,13,operation_error,operation_order,This choice reflects operation error.
college_alg_real_001,D,32,operation_error,operation_order,This choice reflects operation error.
college_alg_real_001,E,11,operation_error,operation_order,This choice reflects operation error.
college_alg_real_002,A,33,sign_error,operation_order,This choice reflects sign error.
college_alg_real_002,B,14,sign_error,operation_order,This choice reflects sign error.
college_alg_real_002,C,43,sign_error,operation_order,This choice reflects sign error.
college_alg_real_002,D,3,sign_error,operation_order,This choice reflects sign error.
college_alg_real_003,A,15,sign_error,operation_order,This choice reflects sign error.
college_alg_real_003,B,56,sign_error,operation_order,This choice reflects sign error.
college_alg_real_003,C,-7,operation_error,operation_order,This choice reflects operation error.
college_alg_real_003,E,44,sign_error,operation_order,This choice reflects sign error.
college_alg_real_004,A,71,sign_error,operation_order,This choice reflects sign error.
college_alg_real_004,B,-19,operation_error,operation_order,This choice reflects operation error.
college_alg_real_004,D,55,sign_error,operation_order,This choice reflects sign error.
college_alg_real_004,E,16,sign_error,operation_order,This choice reflects sign error.
college_alg_real_005,A,-33,operation_error,operation_order,This choice reflects operation error.
college_alg_real_005,C,66,sign_error,operation_order,This choice reflects sign error.
college_alg_real_005,D,17,sign_error,operation_order,This choice reflects sign error.
college_alg_real_005,E,88,sign_error,operation_order,This choice reflects sign error.
college_alg_real_006,B,22,sign_error,operation_order,This choice reflects sign error.
college_alg_real_006,C,13,sign_error,operation_order,This choice reflects sign error.
college_alg_real_006,D,47,sign_error,operation_order,This choice reflects sign error.
college_alg_real_006,E,11,sign_error,operation_order,This choice reflects sign error.
college_alg_real_007,A,51,operation_error,operation_order,This choice reflects operation error.
college_alg_real_007,B,20,operation_error,operation_order,This choice reflects operation error.
college_alg_real_007,C,45,operation_error,operation_order,This choice reflects operation error.
college_alg_real_007,D,10,operation_error,operation_order,This choice reflects operation error.
college_alg_real_008,A,21,sign_error,operation_order,This choice reflects sign error.
college_alg_real_008,B,57,sign_error,operation_order,This choice reflects sign error.
college_alg_real_008,C,1,sign_error,operation_order,This choice reflects sign error.
college_alg_real_008,E,68,sign_error,operation_order,This choice reflects sign error.
college_alg_real_009,A,71,sign_error,operation_order,This choice reflects sign error.
college_alg_real_009,B,-10,operation_error,operation_order,This choice reflects operation error.
college_alg_real_009,D,85,sign_error,operation_order,This choice reflects sign error.
college_alg_real_009,E,22,sign_error,operation_order,This choice reflects sign error.
college_alg_real_010,A,-23,operation_error,operation_order,This choice reflects operation error.
college_alg_real_010,C,102,sign_error,operation_order,This choice reflects sign error.
college_alg_real_010,D,23,sign_error,operation_order,This choice reflects sign error.
college_alg_real_010,E,87,sign_error,operation_order,This choice reflects sign error.
college_alg_real_011,B,34,operation_error,operation_order,This choice reflects operation error.
college_alg_real_011,C,19,operation_error,operation_order,This choice reflects operation error.
college_alg_real_011,D,50,operation_error,operation_order,This choice reflects operation error.
college_alg_real_011,E,17,operation_error,operation_order,This choice reflects operation error.
