problem_id,choice_label,value,misconception,cognitive_tag,explanation
eng_math_formula_001,B,y-3/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_001,C,(y+3)/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_001,D,2/(y-3),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_001,E,17/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_002,A,y-4/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_002,B,(y+4)/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_002,C,3/(y-4),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_002,D,19/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_003,A,(y+5)/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_003,B,4/(y-5),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_003,C,21/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_003,E,y-5/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_004,A,5/(y-6),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_004,B,23/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_004,D,y-6/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_004,E,(y+6)/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_005,A,25/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_005,C,y-7/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_005,D,(y+7)/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_005,E,6/(y-7),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_006,B,y-8/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_006,C,(y+8)/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_006,D,2/(y-8),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_006,E,27/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_007,A,y-3/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_007,B,(y+3)/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_007,C,3/(y-3),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_007,D,35/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_008,A,(y+4)/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_008,B,4/(y-4),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_008,C,37/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_008,E,y-4/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_009,A,5/(y-5),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_009,B,39/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_009,D,y-5/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_009,E,(y+5)/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_010,A,41/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_010,C,y-6/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_010,D,(y+6)/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_010,E,6/(y-6),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_011,B,y-7/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_011,C,(y+7)/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_011,D,2/(y-7),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_011,E,43/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_012,A,y-8/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_012,B,(y+8)/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_012,C,3/(y-8),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_012,D,45/3,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_013,A,(y+3)/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_013,B,4/(y-3),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_013,C,53/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_013,E,y-3/4,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_014,A,5/(y-4),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_014,B,55/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_014,D,y-4/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_014,E,(y+4)/5,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_015,A,57/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_015,C,y-5/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_015,D,(y+5)/6,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_015,E,6/(y-5),symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_016,B,y-6/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
eng_math_formula_016,C,(y+6)/2,symbolic_structure_error,symbolic_fluency,This choice reflects symbolic structure error.
