id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_elem_pilot_g1_001,"观察数列：3, 4, 5, 6, __。空格里应填多少？",7,multiple_choice,A:7|B:6|C:8|D:11|E:12,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 1，所以最后一个已知数 6 后面再加 1，得到 7。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,14000,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库1年级.pdf; block=grade1_b0127; pages=135-137; lesson=20; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g1_002,"观察数列：4, 6, 8, 10, __。空格里应填多少？",12,multiple_choice,A:10|B:14|C:11|D:17|E:12,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 2，所以最后一个已知数 10 后面再加 2，得到 12。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,14001,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库1年级.pdf; block=grade1_b0038; pages=54-57; lesson=6; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g1_003,"观察数列：5, 8, 11, 14, __。空格里应填多少？",17,multiple_choice,A:20|B:16|C:22|D:17|E:14,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 3，所以最后一个已知数 14 后面再加 3，得到 17。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,14002,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库1年级.pdf; block=grade1_b0062; pages=77-81; lesson=10; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g1_004,"观察数列：6, 7, 8, 9, __。空格里应填多少？",10,multiple_choice,A:14|B:15|C:10|D:9|E:11,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 1，所以最后一个已知数 9 后面再加 1，得到 10。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,14003,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库1年级.pdf; block=grade1_b0088; pages=104-107; lesson=14; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g1_005,"观察数列：7, 9, 11, 13, __。空格里应填多少？",15,multiple_choice,A:20|B:15|C:13|D:17|E:14,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 2，所以最后一个已知数 13 后面再加 2，得到 15。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,14004,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库1年级.pdf; block=grade1_b0123; pages=130-133; lesson=17; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g1_006,"观察数列：8, 11, 14, 17, __。空格里应填多少？",20,multiple_choice,A:20|B:17|C:23|D:19|E:25,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,endpoint_error;skip_count_error,相邻两个数每次都增加 3，所以最后一个已知数 17 后面再加 3，得到 20。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,14005,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库1年级.pdf; block=grade1_b0058; pages=72-76; lesson=9; column=thinking_training,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,60,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g2_001,有 3 盒彩笔，每盒 4 支，借给同学 2 支后，还剩多少支？,10,multiple_choice,A:10|B:5|C:14|D:6|E:12,2,arith_natural_numbers,multiplication_modeling;two_step_word_problem,part_whole_reasoning;operation_selection,operation_selection_error;one_step_only_error,先求一共有 3 x 4 = 12 支，再减去借出的 2 支，剩 10 支。,CN Primary Math,应用题基础,cn-primary-g2-word-arithmetic,二年级：乘法模型与两步应用题,14100,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库2年级.pdf; block=grade2_b0036; pages=36-40; lesson=6; column=thinking_training,Foundation,Foundation,cn_two_step_word_problem,operation_selection;modeling_transfer,80,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g2_002,有 4 盒彩笔，每盒 5 支，借给同学 3 支后，还剩多少支？,17,multiple_choice,A:6|B:23|C:8|D:20|E:17,2,arith_natural_numbers,multiplication_modeling;two_step_word_problem,part_whole_reasoning;operation_selection,operation_selection_error;one_step_only_error,先求一共有 4 x 5 = 20 支，再减去借出的 3 支，剩 17 支。,CN Primary Math,应用题基础,cn-primary-g2-word-arithmetic,二年级：乘法模型与两步应用题,14101,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库2年级.pdf; block=grade2_b0129; pages=123-126; lesson=20; column=thinking_training,Foundation,Foundation,cn_two_step_word_problem,operation_selection;modeling_transfer,80,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g2_003,有 5 盒彩笔，每盒 6 支，借给同学 4 支后，还剩多少支？,26,multiple_choice,A:34|B:10|C:30|D:26|E:7,2,arith_natural_numbers,multiplication_modeling;two_step_word_problem,part_whole_reasoning;operation_selection,operation_selection_error;one_step_only_error,先求一共有 5 x 6 = 30 支，再减去借出的 4 支，剩 26 支。,CN Primary Math,应用题基础,cn-primary-g2-word-arithmetic,二年级：乘法模型与两步应用题,14102,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库2年级.pdf; block=grade2_b0017; pages=20-23; lesson=3; column=thinking_training,Foundation,Foundation,cn_two_step_word_problem,operation_selection;modeling_transfer,80,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g2_004,有 6 盒彩笔，每盒 7 支，借给同学 5 支后，还剩多少支？,37,multiple_choice,A:12|B:42|C:37|D:8|E:47,2,arith_natural_numbers,multiplication_modeling;two_step_word_problem,part_whole_reasoning;operation_selection,operation_selection_error;one_step_only_error,先求一共有 6 x 7 = 42 支，再减去借出的 5 支，剩 37 支。,CN Primary Math,应用题基础,cn-primary-g2-word-arithmetic,二年级：乘法模型与两步应用题,14103,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库2年级.pdf; block=grade2_b0041; pages=42-45; lesson=7; column=thinking_training,Foundation,Foundation,cn_two_step_word_problem,operation_selection;modeling_transfer,80,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g2_005,有 7 盒彩笔，每盒 8 支，借给同学 2 支后，还剩多少支？,54,multiple_choice,A:56|B:54|C:13|D:58|E:42,2,arith_natural_numbers,multiplication_modeling;two_step_word_problem,part_whole_reasoning;operation_selection,operation_selection_error;one_step_only_error,先求一共有 7 x 8 = 56 支，再减去借出的 2 支，剩 54 支。,CN Primary Math,应用题基础,cn-primary-g2-word-arithmetic,二年级：乘法模型与两步应用题,14104,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库2年级.pdf; block=grade2_b0112; pages=106-110; lesson=17; column=thinking_training,Foundation,Foundation,cn_two_step_word_problem,operation_selection;modeling_transfer,80,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g2_006,有 8 盒彩笔，每盒 4 支，借给同学 3 支后，还剩多少支？,29,multiple_choice,A:29|B:9|C:35|D:8|E:32,2,arith_natural_numbers,multiplication_modeling;two_step_word_problem,part_whole_reasoning;operation_selection,operation_selection_error;one_step_only_error,先求一共有 8 x 4 = 32 支，再减去借出的 3 支，剩 29 支。,CN Primary Math,应用题基础,cn-primary-g2-word-arithmetic,二年级：乘法模型与两步应用题,14105,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库2年级.pdf; block=grade2_b0139; pages=133-136; lesson=20; column=thinking_training,Foundation,Foundation,cn_two_step_word_problem,operation_selection;modeling_transfer,80,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
cn_jzs_elem_pilot_g3_001,32 个小正方形，每 4 个分成一组，可以分成几整组，还剩几个？,"8,0",multiple_choice,"A:8,0|B:9,0|C:8,4|D:8|E:0",2,nt_remainders;arith_natural_numbers,division_with_remainder;quotient_remainder_model,division_structure;multiple_plus_remainder,remainder_as_quotient_error;endpoint_error,32 = 4 x 8 + 0，所以可以分成 8 整组，还剩 0 个。,CN Primary Math,除法与余数,cn-primary-g3-remainders,三年级：除法、余数与周期,14200,jianzisheng_cn_elementary_pilot_v0,尖子生高分题库3年级.pdf; block=grade3_b0109; pages=125-128; lesson=19; column=thinking_training,Foundation,Bridge,cn_remainder_model,number_structure;fluency_precision,80,Pilot Chinese elementary item generated from cleaned OCR review signals. Uses original-equivalent auto-gradable content; source block is retained only for QA traceability.,zh,CN,CN,中文校内,小学,pilot
