id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes
eng_math_formula_001,Rearrange y = 2x + 3 to make x the subject.,(y-3)/2,multiple_choice,A:(y-3)/2|B:y-3/2|C:(y+3)/2|D:2/(y-3)|E:17/2,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 3 from both sides to get y - 3 = 2x. Divide by 2: x = (y - 3)/2.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6100,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_002,Rearrange y = 3x + 4 to make x the subject.,(y-4)/3,multiple_choice,A:y-4/3|B:(y+4)/3|C:3/(y-4)|D:19/3|E:(y-4)/3,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 4 from both sides to get y - 4 = 3x. Divide by 3: x = (y - 4)/3.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6101,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_003,Rearrange y = 4x + 5 to make x the subject.,(y-5)/4,multiple_choice,A:(y+5)/4|B:4/(y-5)|C:21/4|D:(y-5)/4|E:y-5/4,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 5 from both sides to get y - 5 = 4x. Divide by 4: x = (y - 5)/4.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6102,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_004,Rearrange y = 5x + 6 to make x the subject.,(y-6)/5,multiple_choice,A:5/(y-6)|B:23/5|C:(y-6)/5|D:y-6/5|E:(y+6)/5,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 6 from both sides to get y - 6 = 5x. Divide by 5: x = (y - 6)/5.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6103,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_005,Rearrange y = 6x + 7 to make x the subject.,(y-7)/6,multiple_choice,A:25/6|B:(y-7)/6|C:y-7/6|D:(y+7)/6|E:6/(y-7),4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 7 from both sides to get y - 7 = 6x. Divide by 6: x = (y - 7)/6.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6104,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_006,Rearrange y = 2x + 8 to make x the subject.,(y-8)/2,multiple_choice,A:(y-8)/2|B:y-8/2|C:(y+8)/2|D:2/(y-8)|E:27/2,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 8 from both sides to get y - 8 = 2x. Divide by 2: x = (y - 8)/2.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6105,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_007,Rearrange y = 3x + 3 to make x the subject.,(y-3)/3,multiple_choice,A:y-3/3|B:(y+3)/3|C:3/(y-3)|D:35/3|E:(y-3)/3,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 3 from both sides to get y - 3 = 3x. Divide by 3: x = (y - 3)/3.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6106,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_008,Rearrange y = 4x + 4 to make x the subject.,(y-4)/4,multiple_choice,A:(y+4)/4|B:4/(y-4)|C:37/4|D:(y-4)/4|E:y-4/4,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 4 from both sides to get y - 4 = 4x. Divide by 4: x = (y - 4)/4.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6107,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_009,Rearrange y = 5x + 5 to make x the subject.,(y-5)/5,multiple_choice,A:5/(y-5)|B:39/5|C:(y-5)/5|D:y-5/5|E:(y+5)/5,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 5 from both sides to get y - 5 = 5x. Divide by 5: x = (y - 5)/5.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6108,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_010,Rearrange y = 6x + 6 to make x the subject.,(y-6)/6,multiple_choice,A:41/6|B:(y-6)/6|C:y-6/6|D:(y+6)/6|E:6/(y-6),4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 6 from both sides to get y - 6 = 6x. Divide by 6: x = (y - 6)/6.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6109,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_011,Rearrange y = 2x + 7 to make x the subject.,(y-7)/2,multiple_choice,A:(y-7)/2|B:y-7/2|C:(y+7)/2|D:2/(y-7)|E:43/2,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 7 from both sides to get y - 7 = 2x. Divide by 2: x = (y - 7)/2.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6110,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_012,Rearrange y = 3x + 8 to make x the subject.,(y-8)/3,multiple_choice,A:y-8/3|B:(y+8)/3|C:3/(y-8)|D:45/3|E:(y-8)/3,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 8 from both sides to get y - 8 = 3x. Divide by 3: x = (y - 8)/3.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6111,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_013,Rearrange y = 4x + 3 to make x the subject.,(y-3)/4,multiple_choice,A:(y+3)/4|B:4/(y-3)|C:53/4|D:(y-3)/4|E:y-3/4,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 3 from both sides to get y - 3 = 4x. Divide by 4: x = (y - 3)/4.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6112,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_014,Rearrange y = 5x + 4 to make x the subject.,(y-4)/5,multiple_choice,A:5/(y-4)|B:55/5|C:(y-4)/5|D:y-4/5|E:(y+4)/5,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 4 from both sides to get y - 4 = 5x. Divide by 5: x = (y - 4)/5.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6113,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_015,Rearrange y = 6x + 5 to make x the subject.,(y-5)/6,multiple_choice,A:57/6|B:(y-5)/6|C:y-5/6|D:(y+5)/6|E:6/(y-5),4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 5 from both sides to get y - 5 = 6x. Divide by 6: x = (y - 5)/6.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6114,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_016,Rearrange y = 2x + 6 to make x the subject.,(y-6)/2,multiple_choice,A:(y-6)/2|B:y-6/2|C:(y+6)/2|D:2/(y-6)|E:59/2,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 6 from both sides to get y - 6 = 2x. Divide by 2: x = (y - 6)/2.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6115,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_017,Rearrange y = 3x + 7 to make x the subject.,(y-7)/3,multiple_choice,A:y-7/3|B:(y+7)/3|C:3/(y-7)|D:61/3|E:(y-7)/3,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 7 from both sides to get y - 7 = 3x. Divide by 3: x = (y - 7)/3.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6116,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_018,Rearrange y = 4x + 8 to make x the subject.,(y-8)/4,multiple_choice,A:(y+8)/4|B:4/(y-8)|C:63/4|D:(y-8)/4|E:y-8/4,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 8 from both sides to get y - 8 = 4x. Divide by 4: x = (y - 8)/4.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6117,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_019,Rearrange y = 5x + 3 to make x the subject.,(y-3)/5,multiple_choice,A:5/(y-3)|B:71/5|C:(y-3)/5|D:y-3/5|E:(y+3)/5,4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 3 from both sides to get y - 3 = 5x. Divide by 5: x = (y - 3)/5.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6118,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_formula_020,Rearrange y = 6x + 4 to make x the subject.,(y-4)/6,multiple_choice,A:73/6|B:(y-4)/6|C:y-4/6|D:(y+4)/6|E:6/(y-4),4,alg_linear_equations;prealg_simplification,formula_transposition;inverse_operations,symbolic_rearrangement;linear_equation_structure,inverse_operation_order_error;division_scope_error,Subtract 4 from both sides to get y - 4 = 6x. Divide by 6: x = (y - 4)/6.,Algebra 1,Engineering Algebra Foundations,engineers-math-01-formula-transposition,Formulae and Transposition,6119,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Chapter 5 Block 7 Formulae and Transposition",Standard,Algebra Readiness,formula_rearrangement,symbolic_fluency;inverse_operations,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_units_001,A component is 120 cm long. Express this length in metres.,1.2,multiple_choice,A:1.2|B:12000|C:12|D:220|E:0.12,2,arith_decimals;arith_ratios,unit_conversion;decimal_place_value,unit_scaling;place_value_shift,scale_factor_error;decimal_place_error,"There are 100 cm in 1 metre, so 120 cm = 120/100 = 1.2 m.",Algebra 1,Engineering Foundation Modeling,engineers-math-00-units-measurement,Engineering Units and Measurement,6030,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Foundation Review Units and Measurement",Foundation,Foundation,unit_conversion,unit_conversion;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_units_002,A component is 135 cm long. Express this length in metres.,1.35,multiple_choice,A:13500|B:13.5|C:235|D:0.14|E:1.35,2,arith_decimals;arith_ratios,unit_conversion;decimal_place_value,unit_scaling;place_value_shift,scale_factor_error;decimal_place_error,"There are 100 cm in 1 metre, so 135 cm = 135/100 = 1.35 m.",Algebra 1,Engineering Foundation Modeling,engineers-math-00-units-measurement,Engineering Units and Measurement,6031,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Foundation Review Units and Measurement",Foundation,Foundation,unit_conversion,unit_conversion;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_units_003,A component is 150 cm long. Express this length in metres.,1.5,multiple_choice,A:15|B:250|C:0.15|D:1.5|E:15000,2,arith_decimals;arith_ratios,unit_conversion;decimal_place_value,unit_scaling;place_value_shift,scale_factor_error;decimal_place_error,"There are 100 cm in 1 metre, so 150 cm = 150/100 = 1.5 m.",Algebra 1,Engineering Foundation Modeling,engineers-math-00-units-measurement,Engineering Units and Measurement,6032,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Foundation Review Units and Measurement",Foundation,Foundation,unit_conversion,unit_conversion;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_units_004,A component is 165 cm long. Express this length in metres.,1.65,multiple_choice,A:265|B:0.17|C:1.65|D:16500|E:16.5,2,arith_decimals;arith_ratios,unit_conversion;decimal_place_value,unit_scaling;place_value_shift,scale_factor_error;decimal_place_error,"There are 100 cm in 1 metre, so 165 cm = 165/100 = 1.65 m.",Algebra 1,Engineering Foundation Modeling,engineers-math-00-units-measurement,Engineering Units and Measurement,6033,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Foundation Review Units and Measurement",Foundation,Foundation,unit_conversion,unit_conversion;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_units_005,A component is 180 cm long. Express this length in metres.,1.8,multiple_choice,A:0.18|B:1.8|C:18000|D:18|E:280,2,arith_decimals;arith_ratios,unit_conversion;decimal_place_value,unit_scaling;place_value_shift,scale_factor_error;decimal_place_error,"There are 100 cm in 1 metre, so 180 cm = 180/100 = 1.8 m.",Algebra 1,Engineering Foundation Modeling,engineers-math-00-units-measurement,Engineering Units and Measurement,6034,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Foundation Review Units and Measurement",Foundation,Foundation,unit_conversion,unit_conversion;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_units_006,A component is 195 cm long. Express this length in metres.,1.95,multiple_choice,A:1.95|B:19500|C:19.5|D:295|E:0.2,2,arith_decimals;arith_ratios,unit_conversion;decimal_place_value,unit_scaling;place_value_shift,scale_factor_error;decimal_place_error,"There are 100 cm in 1 metre, so 195 cm = 195/100 = 1.95 m.",Algebra 1,Engineering Foundation Modeling,engineers-math-00-units-measurement,Engineering Units and Measurement,6035,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Foundation Review Units and Measurement",Foundation,Foundation,unit_conversion,unit_conversion;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
eng_math_units_007,A component is 210 cm long. Express this length in metres.,2.1,multiple_choice,A:21000|B:21|C:310|D:0.21|E:2.1,2,arith_decimals;arith_ratios,unit_conversion;decimal_place_value,unit_scaling;place_value_shift,scale_factor_error;decimal_place_error,"There are 100 cm in 1 metre, so 210 cm = 210/100 = 2.1 m.",Algebra 1,Engineering Foundation Modeling,engineers-math-00-units-measurement,Engineering Units and Measurement,6036,mathematics_for_engineers_croft_davison,"local-pdf: Mathematics for Engineers_Anthony Croft, Robert Davison.pdf; Mathematics for Engineers Foundation Review Units and Measurement",Foundation,Foundation,unit_conversion,unit_conversion;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
