problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_jzs_g1-number-patterns_001,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 2，所以第四个数后面再加 2，得到 10。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 10。,只看最后一个数，没有确认前面每一步的变化量。,Answer 10 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 2，所以第四个数后面再加 2，得到 10。 这个 model 保持了题目中的数量关系，所以得到的答案是 10。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_002,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 3，所以第四个数后面再加 3，得到 15。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 15。,只看最后一个数，没有确认前面每一步的变化量。,Answer 15 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 3，所以第四个数后面再加 3，得到 15。 这个 model 保持了题目中的数量关系，所以得到的答案是 15。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_003,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 4，所以第四个数后面再加 4，得到 20。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 20。,只看最后一个数，没有确认前面每一步的变化量。,Answer 20 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 4，所以第四个数后面再加 4，得到 20。 这个 model 保持了题目中的数量关系，所以得到的答案是 20。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_004,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 5，所以第四个数后面再加 5，得到 25。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 25。,只看最后一个数，没有确认前面每一步的变化量。,Answer 25 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 5，所以第四个数后面再加 5，得到 25。 这个 model 保持了题目中的数量关系，所以得到的答案是 25。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_005,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 2，所以第四个数后面再加 2，得到 14。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 14。,只看最后一个数，没有确认前面每一步的变化量。,Answer 14 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 2，所以第四个数后面再加 2，得到 14。 这个 model 保持了题目中的数量关系，所以得到的答案是 14。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_006,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 3，所以第四个数后面再加 3，得到 14。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 14。,只看最后一个数，没有确认前面每一步的变化量。,Answer 14 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 3，所以第四个数后面再加 3，得到 14。 这个 model 保持了题目中的数量关系，所以得到的答案是 14。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_007,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 4，所以第四个数后面再加 4，得到 19。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 19。,只看最后一个数，没有确认前面每一步的变化量。,Answer 19 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 4，所以第四个数后面再加 4，得到 19。 这个 model 保持了题目中的数量关系，所以得到的答案是 19。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_008,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 5，所以第四个数后面再加 5，得到 24。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 24。,只看最后一个数，没有确认前面每一步的变化量。,Answer 24 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 5，所以第四个数后面再加 5，得到 24。 这个 model 保持了题目中的数量关系，所以得到的答案是 24。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_009,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 2，所以第四个数后面再加 2，得到 13。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 13。,只看最后一个数，没有确认前面每一步的变化量。,Answer 13 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 2，所以第四个数后面再加 2，得到 13。 这个 model 保持了题目中的数量关系，所以得到的答案是 13。,把加法规律改成减法规律。
cn_jzs_g1-number-patterns_010,先比较相邻两个数相差多少。,每次都加同一个数。,Step 1: 识别模型。先比较相邻两个数相差多少。 Step 2: 按结构计算。相邻两个数都增加 3，所以第四个数后面再加 3，得到 18。 Step 3: 检查答案。结果与题目要求一致，因此 answer = 18。,只看最后一个数，没有确认前面每一步的变化量。,Answer 18 is correct because this problem uses the pattern_recognition structure. 核心理由：相邻两个数都增加 3，所以第四个数后面再加 3，得到 18。 这个 model 保持了题目中的数量关系，所以得到的答案是 18。,把加法规律改成减法规律。
