problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_pilot_001,先看两个分母是否相同。,把 3/4 化成分母为 8 的分数。,"步骤1：找到公分母 8。
步骤2：把 3/4 化成 6/8。
步骤3：同分母相加，6/8 + 1/8 = 7/8，因此答案是 7/8。",把分子和分母分别相加，得到 4/12。,正确答案是 7/8，因为分数加法需要先统一分母；3/4 和 1/8 都写成八分之几后，分子相加得到 7。,换成异分母分数减法，继续练习通分。
cn_pilot_002,先求降价了多少钱。,25% 可以看成 1/4。,降价 25% 表示少付 80 x 25% = 20 元，所以售价是 80 - 20 = 60 元。,直接用 80 - 25，忽略 25% 是比例不是 25 元。,正确答案是 60，因为：降价 25% 表示少付 80 x 25% = 20 元，所以售价是 80 - 20 = 60 元。,把降价改成涨价，比较新价格。
cn_pilot_003,先把常数项移到等号右边。,最后把 x 的系数化为 1。,"步骤1：方程两边同时减 5，得到 2x = 12。
步骤2：方程两边同时除以 2，得到 x = 6。
步骤3：代回检查，2 x 6 + 5 = 17，因此答案是 6。",先除以 2 时没有同时处理 +5。,正确答案是 6，因为等式两边做相同的逆运算不会改变方程的解；代回原式后左右两边都等于 17。,加入括号，变成 3(x - 2) = 12。
cn_pilot_004,看常数项 6 的因数对。,找乘积是 6、和是 5 的一组数。,寻找两个数，使乘积为 6、和为 5，这两个数是 2 和 3，所以 x^2 + 5x + 6 = (x+2)(x+3)。,只看乘积，不检查一次项系数。,正确答案是 (x+2)(x+3)，因为：寻找两个数，使乘积为 6、和为 5，这两个数是 2 和 3，所以 x^2 + 5x + 6 = (x+2)(x+3)。,换成 x^2 - 5x + 6，比较符号变化。
cn_pilot_005,把给定的 x 值代入函数表达式。,先算 2 x 5，再减 3。,把 x = 5 代入 y = 2x - 3，得到 y = 2 x 5 - 3 = 10 - 3 = 7。,把 2x - 3 误算成 2 + x - 3。,正确答案是 7，因为：把 x = 5 代入 y = 2x - 3，得到 y = 2 x 5 - 3 = 10 - 3 = 7。,给定 y 的值，反求 x。
cn_pilot_006,先尝试因式分解。,因式为 0 时，每个括号分别等于 0。,x^2 - 5x + 6 = (x-2)(x-3)，所以 x = 2 或 x = 3。,把因式中的符号直接当成根的符号。,"正确答案是 2,3，因为：x^2 - 5x + 6 = (x-2)(x-3)，所以 x = 2 或 x = 3。",换成不能直接分解的二次方程，使用公式法。
cn_pilot_007,识别顶点式。,"(x - h)^2 + k 对应顶点 (h, k)。","二次函数顶点式 y = (x - h)^2 + k 的顶点是 (h, k)。这里 h = 2，k = 1，所以顶点是 (2,1)。",看到 x - 2 就把横坐标写成 -2。,"正确答案是 (2,1)，因为：二次函数顶点式 y = (x - h)^2 + k 的顶点是 (h, k)。这里 h = 2，k = 1，所以顶点是 (2,1)。",给出一般式，先配方再找顶点。
cn_pilot_008,先用三角形内角和。,把 180 度按 2:3:4 分成 9 份。,三角形内角和为 180 度。比例总份数是 2+3+4=9，每份是 180/9=20 度，最大角是 4 份，即 80 度。,直接把最大角看成 4 度或 4/9 度。,正确答案是 80，因为：三角形内角和为 180 度。比例总份数是 2+3+4=9，每份是 180/9=20 度，最大角是 4 份，即 80 度。,给出两个角的比和第三个角，反求最大角。
cn_pilot_009,列出 3 的倍数。,注意不要超过 20。,"1 到 20 中 3 的倍数是 3, 6, 9, 12, 15, 18，共 6 个。",把 20/3 的余数处理错，导致多算或少算。,"正确答案是 6，因为：1 到 20 中 3 的倍数是 3, 6, 9, 12, 15, 18，共 6 个。",改成同时能被 2 和 3 整除的数。
cn_pilot_010,按位置逐个考虑选择数。,每放好一个球，剩下可选的小球数少 1。,第 1 个位置有 5 种选择，第 2 个位置有 4 种，依次为 5 x 4 x 3 x 2 x 1 = 120。,把每个位置都当成有 5 种选择，得到 25 或 5^5。,正确答案是 120，因为：第 1 个位置有 5 种选择，第 2 个位置有 4 种，依次为 5 x 4 x 3 x 2 x 1 = 120。,加入限制条件，例如某个球必须在最左边。
