problem_id,choice_label,value,misconception,cognitive_tag,explanation
cn_jzs_jr_g9_pilot_001,B,-2,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_001,C,-4,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_001,D,3,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_001,E,7,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_002,A,-3,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_002,B,-6,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_002,C,5,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_002,D,4,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_003,A,-8,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_003,B,1,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_003,C,3,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_003,E,-2,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_004,A,-8,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_004,B,0,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_004,D,1,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_004,E,2,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_005,A,0,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_005,C,1,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_005,D,4,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_005,E,-3,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_006,B,-5,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_006,C,-10,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_006,D,7,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_006,E,6,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_007,A,-2或-5,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_007,B,7,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_007,C,10,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_007,D,3或6,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_008,A,10,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_008,B,21,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_008,C,4或8,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_008,E,-3或-7,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_009,A,-4,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_009,B,0或5,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_009,D,1或-4,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_009,E,3,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_010,A,-1或7,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_pilot_010,C,2或-6,quadratic_structure_error,factor_structure,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
