problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
college_alg_real_001,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 7 x 2 = 14. Then 18 - 14 = 4.,Subtracting before multiplying changes the expression.,The correct answer is 4 because Use order of operations: 7 x 2 = 14. Then 18 - 14 = 4.,Add parentheses and compare the new value.
college_alg_real_002,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 8 x 3 = 24. Then 19 - 24 = -5.,Subtracting before multiplying changes the expression.,The correct answer is -5 because Use order of operations: 8 x 3 = 24. Then 19 - 24 = -5.,Add parentheses and compare the new value.
college_alg_real_003,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 9 x 4 = 36. Then 20 - 36 = -16.,Subtracting before multiplying changes the expression.,The correct answer is -16 because Use order of operations: 9 x 4 = 36. Then 20 - 36 = -16.,Add parentheses and compare the new value.
college_alg_real_004,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 10 x 5 = 50. Then 21 - 50 = -29.,Subtracting before multiplying changes the expression.,The correct answer is -29 because Use order of operations: 10 x 5 = 50. Then 21 - 50 = -29.,Add parentheses and compare the new value.
college_alg_real_005,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 11 x 6 = 66. Then 22 - 66 = -44.,Subtracting before multiplying changes the expression.,The correct answer is -44 because Use order of operations: 11 x 6 = 66. Then 22 - 66 = -44.,Add parentheses and compare the new value.
college_alg_real_006,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 12 x 2 = 24. Then 23 - 24 = -1.,Subtracting before multiplying changes the expression.,The correct answer is -1 because Use order of operations: 12 x 2 = 24. Then 23 - 24 = -1.,Add parentheses and compare the new value.
college_alg_real_007,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 7 x 3 = 21. Then 24 - 21 = 3.,Subtracting before multiplying changes the expression.,The correct answer is 3 because Use order of operations: 7 x 3 = 21. Then 24 - 21 = 3.,Add parentheses and compare the new value.
college_alg_real_008,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 8 x 4 = 32. Then 25 - 32 = -7.,Subtracting before multiplying changes the expression.,The correct answer is -7 because Use order of operations: 8 x 4 = 32. Then 25 - 32 = -7.,Add parentheses and compare the new value.
college_alg_real_009,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 9 x 5 = 45. Then 26 - 45 = -19.,Subtracting before multiplying changes the expression.,The correct answer is -19 because Use order of operations: 9 x 5 = 45. Then 26 - 45 = -19.,Add parentheses and compare the new value.
college_alg_real_010,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 10 x 6 = 60. Then 27 - 60 = -33.,Subtracting before multiplying changes the expression.,The correct answer is -33 because Use order of operations: 10 x 6 = 60. Then 27 - 60 = -33.,Add parentheses and compare the new value.
college_alg_real_011,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 11 x 2 = 22. Then 28 - 22 = 6.,Subtracting before multiplying changes the expression.,The correct answer is 6 because Use order of operations: 11 x 2 = 22. Then 28 - 22 = 6.,Add parentheses and compare the new value.
college_alg_real_012,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 12 x 3 = 36. Then 29 - 36 = -7.,Subtracting before multiplying changes the expression.,The correct answer is -7 because Use order of operations: 12 x 3 = 36. Then 29 - 36 = -7.,Add parentheses and compare the new value.
college_alg_real_013,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 7 x 4 = 28. Then 30 - 28 = 2.,Subtracting before multiplying changes the expression.,The correct answer is 2 because Use order of operations: 7 x 4 = 28. Then 30 - 28 = 2.,Add parentheses and compare the new value.
college_alg_real_014,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 8 x 5 = 40. Then 31 - 40 = -9.,Subtracting before multiplying changes the expression.,The correct answer is -9 because Use order of operations: 8 x 5 = 40. Then 31 - 40 = -9.,Add parentheses and compare the new value.
college_alg_real_015,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 9 x 6 = 54. Then 32 - 54 = -22.,Subtracting before multiplying changes the expression.,The correct answer is -22 because Use order of operations: 9 x 6 = 54. Then 32 - 54 = -22.,Add parentheses and compare the new value.
college_alg_real_016,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 10 x 2 = 20. Then 33 - 20 = 13.,Subtracting before multiplying changes the expression.,The correct answer is 13 because Use order of operations: 10 x 2 = 20. Then 33 - 20 = 13.,Add parentheses and compare the new value.
college_alg_real_017,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 11 x 3 = 33. Then 34 - 33 = 1.,Subtracting before multiplying changes the expression.,The correct answer is 1 because Use order of operations: 11 x 3 = 33. Then 34 - 33 = 1.,Add parentheses and compare the new value.
college_alg_real_018,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 12 x 4 = 48. Then 35 - 48 = -13.,Subtracting before multiplying changes the expression.,The correct answer is -13 because Use order of operations: 12 x 4 = 48. Then 35 - 48 = -13.,Add parentheses and compare the new value.
college_alg_real_019,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 7 x 5 = 35. Then 36 - 35 = 1.,Subtracting before multiplying changes the expression.,The correct answer is 1 because Use order of operations: 7 x 5 = 35. Then 36 - 35 = 1.,Add parentheses and compare the new value.
college_alg_real_020,Decide which operation happens first.,Multiply before subtracting.,Use order of operations: 8 x 6 = 48. Then 37 - 48 = -11.,Subtracting before multiplying changes the expression.,The correct answer is -11 because Use order of operations: 8 x 6 = 48. Then 37 - 48 = -11.,Add parentheses and compare the new value.
college_alg_dist_001,Find the horizontal and vertical changes.,Use the Pythagorean theorem on those two changes.,The horizontal change is 3 and the vertical change is 4. The distance is sqrt(3^2 + 4^2) = 5.,Adding the coordinate changes instead of using squares.,The correct answer is 5 because The horizontal change is 3 and the vertical change is 4. The distance is sqrt(3^2 + 4^2) = 5.,Give a missing coordinate and the distance.
college_alg_dist_002,Find the horizontal and vertical changes.,Use the Pythagorean theorem on those two changes.,The horizontal change is 5 and the vertical change is 12. The distance is sqrt(5^2 + 12^2) = 13.,Adding the coordinate changes instead of using squares.,The correct answer is 13 because The horizontal change is 5 and the vertical change is 12. The distance is sqrt(5^2 + 12^2) = 13.,Give a missing coordinate and the distance.
college_alg_dist_003,Find the horizontal and vertical changes.,Use the Pythagorean theorem on those two changes.,The horizontal change is 6 and the vertical change is 8. The distance is sqrt(6^2 + 8^2) = 10.,Adding the coordinate changes instead of using squares.,The correct answer is 10 because The horizontal change is 6 and the vertical change is 8. The distance is sqrt(6^2 + 8^2) = 10.,Give a missing coordinate and the distance.
