id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes
college_alg_fn_001,Let f(x) = 2x + 3. Find f(1).,5,multiple_choice,A:5|B:6|C:8|D:-1|E:7,3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 1: f(1) = 2(1) + 3 = 2 + 3 = 5.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5100,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_002,Let f(x) = 3x + 4. Find f(2).,10,multiple_choice,A:9|B:18|C:2|D:13|E:10,3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 2: f(2) = 3(2) + 4 = 6 + 4 = 10.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5101,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_003,Let f(x) = 4x + 5. Find f(3).,17,multiple_choice,A:32|B:7|C:21|D:17|E:12,3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 3: f(3) = 4(3) + 5 = 12 + 5 = 17.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5102,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_004,Let f(x) = 5x + 6. Find f(4).,26,multiple_choice,A:14|B:31|C:26|D:15|E:50,3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 4: f(4) = 5(4) + 6 = 20 + 6 = 26.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5103,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_005,Let f(x) = 2x + 7. Find f(5).,17,multiple_choice,A:19|B:17|C:14|D:24|E:3,3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 5: f(5) = 2(5) + 7 = 10 + 7 = 17.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5104,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_006,Let f(x) = 3x + 8. Find f(6).,26,multiple_choice,A:26|B:17|C:42|D:10|E:29,3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 6: f(6) = 3(6) + 8 = 18 + 8 = 26.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5105,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_007,Let f(x) = 4x + 3. Find f(7).,31,multiple_choice,A:14|B:40|C:25|D:35|E:31,3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 7: f(7) = 4(7) + 3 = 28 + 3 = 31.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5106,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_008,Let f(x) = 5x + 4. Find f(8).,44,multiple_choice,A:60|B:36|C:49|D:44|E:17,3,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 8: f(8) = 5(8) + 4 = 40 + 4 = 44.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5107,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_009,Let f(x) = 2x + 5. Find f(1).,7,multiple_choice,A:-3|B:9|C:7|D:8|E:12,4,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 1: f(1) = 2(1) + 5 = 2 + 5 = 7.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5108,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_fn_010,Let f(x) = 3x + 6. Find f(2).,12,multiple_choice,A:15|B:12|C:11|D:24|E:0,4,alg_functions;prealg_substitution,function_evaluation;substitution,input_output_mapping;linear_function_evaluation,variable_meaning_error;operation_order_error,Substitute x = 2: f(2) = 3(2) + 6 = 6 + 6 = 12.,Algebra 1,Functions and Modeling,college-algebra-01-functions,Functions and Function Notation,5109,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.3-1.4 Introduction to Functions and Function Notation",Standard,Algebra Readiness,function_evaluation,symbol_evaluation;input_output_mapping,110,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
