id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_g1-number-patterns_001,"观察数列：2, 4, 6, 8, __。空格里应填多少？",10,multiple_choice,A:10|B:8|C:12|D:9|E:15,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 2，所以第四个数后面再加 2，得到 10。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13000,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_002,"观察数列：3, 6, 9, 12, __。空格里应填多少？",15,multiple_choice,A:12|B:18|C:14|D:20|E:15,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 3，所以第四个数后面再加 3，得到 15。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13001,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_003,"观察数列：4, 8, 12, 16, __。空格里应填多少？",20,multiple_choice,A:24|B:19|C:25|D:20|E:16,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 4，所以第四个数后面再加 4，得到 20。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13002,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_004,"观察数列：5, 10, 15, 20, __。空格里应填多少？",25,multiple_choice,A:24|B:30|C:25|D:20|E:30,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 5，所以第四个数后面再加 5，得到 25。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13003,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_005,"观察数列：6, 8, 10, 12, __。空格里应填多少？",14,multiple_choice,A:19|B:14|C:12|D:16|E:13,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 2，所以第四个数后面再加 2，得到 14。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13004,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_006,"观察数列：2, 5, 8, 11, __。空格里应填多少？",14,multiple_choice,A:14|B:11|C:17|D:13|E:19,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 3，所以第四个数后面再加 3，得到 14。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13005,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_007,"观察数列：3, 7, 11, 15, __。空格里应填多少？",19,multiple_choice,A:15|B:23|C:18|D:24|E:19,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 4，所以第四个数后面再加 4，得到 19。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13006,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_008,"观察数列：4, 9, 14, 19, __。空格里应填多少？",24,multiple_choice,A:29|B:23|C:29|D:24|E:19,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 5，所以第四个数后面再加 5，得到 24。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13007,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_009,"观察数列：5, 7, 9, 11, __。空格里应填多少？",13,multiple_choice,A:12|B:18|C:13|D:11|E:15,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 2，所以第四个数后面再加 2，得到 13。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13008,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_010,"观察数列：6, 9, 12, 15, __。空格里应填多少？",18,multiple_choice,A:23|B:18|C:15|D:21|E:17,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 3，所以第四个数后面再加 3，得到 18。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13009,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_011,"观察数列：2, 6, 10, 14, __。空格里应填多少？",18,multiple_choice,A:18|B:14|C:22|D:17|E:23,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 4，所以第四个数后面再加 4，得到 18。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13010,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_012,"观察数列：3, 8, 13, 18, __。空格里应填多少？",23,multiple_choice,A:18|B:28|C:22|D:28|E:23,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 5，所以第四个数后面再加 5，得到 23。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13011,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_013,"观察数列：4, 6, 8, 10, __。空格里应填多少？",12,multiple_choice,A:14|B:11|C:17|D:12|E:10,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 2，所以第四个数后面再加 2，得到 12。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13012,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_014,"观察数列：5, 8, 11, 14, __。空格里应填多少？",17,multiple_choice,A:16|B:22|C:17|D:14|E:20,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 3，所以第四个数后面再加 3，得到 17。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13013,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_015,"观察数列：6, 10, 14, 18, __。空格里应填多少？",22,multiple_choice,A:27|B:22|C:18|D:26|E:21,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 4，所以第四个数后面再加 4，得到 22。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13014,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_016,"观察数列：2, 7, 12, 17, __。空格里应填多少？",22,multiple_choice,A:22|B:17|C:27|D:21|E:27,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 5，所以第四个数后面再加 5，得到 22。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13015,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
cn_jzs_g1-number-patterns_017,"观察数列：3, 5, 7, 9, __。空格里应填多少？",11,multiple_choice,A:9|B:13|C:10|D:16|E:11,1,arith_natural_numbers,sequence_observation;addition_fluency,constant_difference_pattern;number_sequence,skip_count_error;endpoint_error,相邻两个数都增加 2，所以第四个数后面再加 2，得到 11。,CN Primary Math,数与规律,cn-primary-g1-number-patterns,一年级：数的认识与找规律,13016,jianzisheng_cn_math_bank_1_12,local-pdf: 尖子生高分题库1年级.pdf; 一年级：数的认识与找规律,Foundation,Foundation,cn_number_pattern,pattern_recognition;fluency_precision,70,Original-equivalent Chinese item generated from local scanned book coverage signals. OCR sample available under datasets/textbooks/jianzisheng-bank-1-12/ocr-samples. No full textbook exercise text is reproduced.,zh,CN,CN,中文校内,小学,production
