id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g7_b4_001,数轴上点 A 表示 -3，点 B 表示 5，AB 的长度是多少？,8,multiple_choice,A:8|B:2|C:9|D:10|E:13,3,arith_absolute_value;arith_integers,number_line_distance;absolute_difference,distance_between_numbers;absolute_value_distance,signed_difference_error;sum_instead_of_distance,数轴上两点距离等于两个数差的绝对值：|5--3|=8。,CN Junior High Math,有理数,cn-junior-g7-number-line-distance,七年级：数轴两点距离,21300,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0070; pages=212-217; lesson=16; column=competition_boost,Standard,Foundation,cn_number_line_distance,number_sense;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_002,数轴上点 A 表示 -7，点 B 表示 -2，AB 的长度是多少？,5,multiple_choice,A:-9|B:9|C:6|D:7|E:5,3,arith_absolute_value;arith_integers,number_line_distance;absolute_difference,distance_between_numbers;absolute_value_distance,signed_difference_error;sum_instead_of_distance,数轴上两点距离等于两个数差的绝对值：|-2--7|=5。,CN Junior High Math,有理数,cn-junior-g7-number-line-distance,七年级：数轴两点距离,21301,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0064; pages=200-202; lesson=16; column=worked_example,Standard,Foundation,cn_number_line_distance,number_sense;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_003,数轴上点 A 表示 4，点 B 表示 11，AB 的长度是多少？,7,multiple_choice,A:8|B:9|C:12|D:7|E:15,3,arith_absolute_value;arith_integers,number_line_distance;absolute_difference,distance_between_numbers;absolute_value_distance,signed_difference_error;sum_instead_of_distance,数轴上两点距离等于两个数差的绝对值：|11-4|=7。,CN Junior High Math,有理数,cn-junior-g7-number-line-distance,七年级：数轴两点距离,21302,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0095; pages=279-280; lesson=4; column=thinking_training,Standard,Foundation,cn_number_line_distance,number_sense;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_004,数轴上点 A 表示 -6，点 B 表示 3，AB 的长度是多少？,9,multiple_choice,A:11|B:14|C:9|D:-3|E:10,3,arith_absolute_value;arith_integers,number_line_distance;absolute_difference,distance_between_numbers;absolute_value_distance,signed_difference_error;sum_instead_of_distance,数轴上两点距离等于两个数差的绝对值：|3--6|=9。,CN Junior High Math,有理数,cn-junior-g7-number-line-distance,七年级：数轴两点距离,21303,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0082; pages=238-240; lesson=22; column=thinking_training,Standard,Foundation,cn_number_line_distance,number_sense;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_005,数轴上点 A 表示 -10，点 B 表示 -1，AB 的长度是多少？,9,multiple_choice,A:14|B:9|C:-11|D:11|E:10,3,arith_absolute_value;arith_integers,number_line_distance;absolute_difference,distance_between_numbers;absolute_value_distance,signed_difference_error;sum_instead_of_distance,数轴上两点距离等于两个数差的绝对值：|-1--10|=9。,CN Junior High Math,有理数,cn-junior-g7-number-line-distance,七年级：数轴两点距离,21304,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0003; pages=12-16; lesson=unknown; column=competition_boost,Standard,Foundation,cn_number_line_distance,number_sense;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_006,数轴上点 A 表示 2，点 B 表示 9，AB 的长度是多少？,7,multiple_choice,A:7|B:11|C:8|D:9|E:12,3,arith_absolute_value;arith_integers,number_line_distance;absolute_difference,distance_between_numbers;absolute_value_distance,signed_difference_error;sum_instead_of_distance,数轴上两点距离等于两个数差的绝对值：|9-2|=7。,CN Junior High Math,有理数,cn-junior-g7-number-line-distance,七年级：数轴两点距离,21305,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0016; pages=56-60; lesson=5; column=competition_boost,Standard,Foundation,cn_number_line_distance,number_sense;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_007,化简：2(3x+4)+5，结果是多少？,6x+13,multiple_choice,A:6x+9|B:5x+13|C:6x|D:13|E:6x+13,4,prealg_simplification;prealg_expressions,two_step_simplification;distributive_property,distribute_then_combine;expression_simplification,partial_distribution_error;constant_combination_error,先用分配律去括号，再合并常数项，结果是 6x+13。,CN Junior High Math,整式,cn-junior-g7-two-step-simplification,七年级：整式两步化简,21306,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0041; pages=126-130; lesson=12; column=competition_boost,Honors,Bridge,cn_two_step_expression_simplification,symbolic_fluency;operation_selection,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_008,化简：3(-2x+5)-1，结果是多少？,-6x+14,multiple_choice,A:1x+14|B:-6x|C:14|D:-6x+14|E:-6x+4,4,prealg_simplification;prealg_expressions,two_step_simplification;distributive_property,distribute_then_combine;expression_simplification,partial_distribution_error;constant_combination_error,先用分配律去括号，再合并常数项，结果是 -6x+14。,CN Junior High Math,整式,cn-junior-g7-two-step-simplification,七年级：整式两步化简,21307,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0086; pages=249-252; lesson=24; column=competition_boost,Honors,Bridge,cn_two_step_expression_simplification,symbolic_fluency;operation_selection,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_009,化简：-2(4x+3)+6，结果是多少？,-8x,multiple_choice,A:0|B:-8x+5|C:-8x|D:-8x+9|E:2x+0,4,prealg_simplification;prealg_expressions,two_step_simplification;distributive_property,distribute_then_combine;expression_simplification,partial_distribution_error;constant_combination_error,先用分配律去括号，再合并常数项，结果是 -8x。,CN Junior High Math,整式,cn-junior-g7-two-step-simplification,七年级：整式两步化简,21308,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0099; pages=283-284; lesson=8; column=thinking_training,Honors,Bridge,cn_two_step_expression_simplification,symbolic_fluency;operation_selection,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b4_010,化简：5(1x-2)+7，结果是多少？,5x-3,multiple_choice,A:-3|B:5x-3|C:5x+5|D:6x-3|E:5x,4,prealg_simplification;prealg_expressions,two_step_simplification;distributive_property,distribute_then_combine;expression_simplification,partial_distribution_error;constant_combination_error,先用分配律去括号，再合并常数项，结果是 5x-3。,CN Junior High Math,整式,cn-junior-g7-two-step-simplification,七年级：整式两步化简,21309,jianzisheng_cn_junior_grade7_batch4_v0,尖子生高分题库7年级.pdf; block=grade7_b0112; pages=314-315; lesson=24; column=thinking_training,Honors,Bridge,cn_two_step_expression_simplification,symbolic_fluency;operation_selection,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
