problem_id,choice_label,value,misconception,cognitive_tag,explanation
cn_jzs_jr_g9_b2_001,B,2,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_001,C,1,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_001,D,-2,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_001,E,3,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_002,A,-1,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_002,B,2,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_002,C,6,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_002,D,-4,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_003,A,1,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_003,B,3,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_003,C,-2,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_003,E,-3,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_004,A,-2,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_004,B,5,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_004,D,1,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_004,E,3,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_005,A,-1,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_005,C,4,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_005,D,2,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_005,E,3,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_006,B,-2,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_006,C,1,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_006,D,-5,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_006,E,6,quadratic_structure_error,structure_recognition,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_007,A,向左2个单位，向上3个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_007,B,向右2个单位，向下3个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_007,C,只向右2个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_007,D,只向上3个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_008,A,向左1个单位，向下4个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_008,B,只向左1个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_008,C,只向上4个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_008,E,向右1个单位，向上4个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_009,A,只向右3个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_009,B,只向下2个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_009,D,向左3个单位，向下2个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_009,E,向右3个单位，向上2个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_010,A,只向下5个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_010,C,向右2个单位，向下5个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_010,D,向左2个单位，向上5个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_010,E,只向左2个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_011,B,向左4个单位，向上1个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b2_011,C,向右4个单位，向下1个单位,quadratic_structure_error,spatial_reasoning,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
