id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g8_pilot_001,三角形两边长分别为 5 和 8，第三边长为 x。下面哪个范围正确？,3<x<13,multiple_choice,A:3<x<13|B:x>13|C:x<13|D:3≤x≤13|E:x>3,2,geo_triangles,triangle_inequality;inequality_reasoning,two_sides_bound_third_side;geometric_constraint,endpoint_inclusion_error;one_sided_constraint_error,三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<13。,CN Junior High Math,三角形基础,cn-junior-g8-triangles,八年级：三角形基础,22000,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0087; pages=245-249; lesson=4; column=thinking_training,Foundation,Bridge,cn_triangle_inequality,geometric_reasoning;constraint_reasoning,90,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_002,三角形两边长分别为 6 和 9，第三边长为 x。下面哪个范围正确？,3<x<15,multiple_choice,A:x>15|B:x<15|C:3≤x≤15|D:x>3|E:3<x<15,2,geo_triangles,triangle_inequality;inequality_reasoning,two_sides_bound_third_side;geometric_constraint,endpoint_inclusion_error;one_sided_constraint_error,三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<15。,CN Junior High Math,三角形基础,cn-junior-g8-triangles,八年级：三角形基础,22001,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0088; pages=249-252; lesson=7; column=thinking_training,Foundation,Bridge,cn_triangle_inequality,geometric_reasoning;constraint_reasoning,90,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_003,三角形两边长分别为 7 和 10，第三边长为 x。下面哪个范围正确？,3<x<17,multiple_choice,A:x<17|B:3≤x≤17|C:x>3|D:3<x<17|E:x>17,2,geo_triangles,triangle_inequality;inequality_reasoning,two_sides_bound_third_side;geometric_constraint,endpoint_inclusion_error;one_sided_constraint_error,三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<17。,CN Junior High Math,三角形基础,cn-junior-g8-triangles,八年级：三角形基础,22002,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0093; pages=260-266; lesson=15; column=thinking_training,Foundation,Bridge,cn_triangle_inequality,geometric_reasoning;constraint_reasoning,90,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_004,三角形两边长分别为 8 和 11，第三边长为 x。下面哪个范围正确？,3<x<19,multiple_choice,A:3≤x≤19|B:x>3|C:3<x<19|D:x>19|E:x<19,2,geo_triangles,triangle_inequality;inequality_reasoning,two_sides_bound_third_side;geometric_constraint,endpoint_inclusion_error;one_sided_constraint_error,三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<19。,CN Junior High Math,三角形基础,cn-junior-g8-triangles,八年级：三角形基础,22003,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0041; pages=113-118; lesson=unknown; column=thinking_training,Foundation,Bridge,cn_triangle_inequality,geometric_reasoning;constraint_reasoning,90,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_005,三角形的两个内角分别是 38° 和 64°，第三个内角是多少度？,78,multiple_choice,A:88|B:78|C:102|D:142|E:116,2,geo_triangle_angles;geo_triangles,angle_sum;subtraction_fluency,triangle_angle_sum;missing_angle,angle_sum_error;arithmetic_slip,三角形内角和为 180°，第三个角为 180°-38°-64°=78°。,CN Junior High Math,三角形基础,cn-junior-g8-triangle-angles,八年级：三角形内角和,22004,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0073; pages=190-196; lesson=13; column=thinking_training,Foundation,Bridge,cn_triangle_angle_sum,geometric_reasoning;fluency_precision,90,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_006,三角形的两个内角分别是 42° 和 61°，第三个内角是多少度？,77,multiple_choice,A:77|B:103|C:138|D:119|E:87,2,geo_triangle_angles;geo_triangles,angle_sum;subtraction_fluency,triangle_angle_sum;missing_angle,angle_sum_error;arithmetic_slip,三角形内角和为 180°，第三个角为 180°-42°-61°=77°。,CN Junior High Math,三角形基础,cn-junior-g8-triangle-angles,八年级：三角形内角和,22005,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0098; pages=283-288; lesson=22; column=thinking_training,Foundation,Bridge,cn_triangle_angle_sum,geometric_reasoning;fluency_precision,90,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_007,三角形的两个内角分别是 46° 和 58°，第三个内角是多少度？,76,multiple_choice,A:104|B:134|C:122|D:86|E:76,2,geo_triangle_angles;geo_triangles,angle_sum;subtraction_fluency,triangle_angle_sum;missing_angle,angle_sum_error;arithmetic_slip,三角形内角和为 180°，第三个角为 180°-46°-58°=76°。,CN Junior High Math,三角形基础,cn-junior-g8-triangle-angles,八年级：三角形内角和,22006,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0025; pages=55-58; lesson=unknown; column=thinking_training,Foundation,Bridge,cn_triangle_angle_sum,geometric_reasoning;fluency_precision,90,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_008,三角形的两个内角分别是 50° 和 55°，第三个内角是多少度？,75,multiple_choice,A:130|B:125|C:85|D:75|E:105,2,geo_triangle_angles;geo_triangles,angle_sum;subtraction_fluency,triangle_angle_sum;missing_angle,angle_sum_error;arithmetic_slip,三角形内角和为 180°，第三个角为 180°-50°-55°=75°。,CN Junior High Math,三角形基础,cn-junior-g8-triangle-angles,八年级：三角形内角和,22007,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0004; pages=9-11; lesson=unknown; column=thinking_training,Foundation,Bridge,cn_triangle_angle_sum,geometric_reasoning;fluency_precision,90,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_009,判断三角形全等时，条件“两边及其夹角对应相等”对应的判定方法是？,SAS,multiple_choice,A:AAS|B:HL|C:SAS|D:AAA|E:SSA,3,geo_congruence;geo_triangles,congruence_criterion;condition_matching,geometry_proof_condition;criterion_selection,aaa_congruence_error;ssa_congruence_error,“两边及其夹角对应相等”对应 SAS 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。,CN Junior High Math,三角形全等,cn-junior-g8-congruence,八年级：三角形全等,22008,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0007; pages=17-20; lesson=unknown; column=thinking_training,Standard,Bridge,cn_congruence_criterion,proof_reasoning;criterion_selection,110,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_010,判断三角形全等时，条件“两角及其夹边对应相等”对应的判定方法是？,ASA,multiple_choice,A:HL|B:ASA|C:AAA|D:SSA|E:AAS,3,geo_congruence;geo_triangles,congruence_criterion;condition_matching,geometry_proof_condition;criterion_selection,aaa_congruence_error;ssa_congruence_error,“两角及其夹边对应相等”对应 ASA 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。,CN Junior High Math,三角形全等,cn-junior-g8-congruence,八年级：三角形全等,22009,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0011; pages=27-29; lesson=unknown; column=thinking_training,Standard,Bridge,cn_congruence_criterion,proof_reasoning;criterion_selection,110,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_pilot_011,判断三角形全等时，条件“三边对应相等”对应的判定方法是？,SSS,multiple_choice,A:SSS|B:AAA|C:SSA|D:AAS|E:HL,3,geo_congruence;geo_triangles,congruence_criterion;condition_matching,geometry_proof_condition;criterion_selection,aaa_congruence_error;ssa_congruence_error,“三边对应相等”对应 SSS 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。,CN Junior High Math,三角形全等,cn-junior-g8-congruence,八年级：三角形全等,22010,jianzisheng_cn_junior_grade8_pilot_v0,尖子生高分题库8年级.pdf; block=grade8_b0016; pages=36-38; lesson=unknown; column=thinking_training,Standard,Bridge,cn_congruence_criterion,proof_reasoning;criterion_selection,110,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
