id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g9_pilot_001,二次函数 $y=1$x^2-4x+3 的对称轴是 x 等于多少？,2,multiple_choice,A:2|B:-2|C:-4|D:3|E:7,4,alg_quadratics;alg_functions,quadratic_axis;formula_application,quadratic_vertex_form;axis_of_symmetry,sign_error;coefficient_confusion,二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-4$，所以 $$x=2$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-axis,九年级：二次函数对称轴,23000,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0066; pages=161-165; lesson=18; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_axis,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_002,二次函数 $y=1$x^2-6x+5 的对称轴是 x 等于多少？,3,multiple_choice,A:-3|B:-6|C:5|D:4|E:3,4,alg_quadratics;alg_functions,quadratic_axis;formula_application,quadratic_vertex_form;axis_of_symmetry,sign_error;coefficient_confusion,二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-6$，所以 $$x=3$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-axis,九年级：二次函数对称轴,23001,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0010; pages=25-29; lesson=2; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_axis,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_003,二次函数 $y=2$x^2-8x+1 的对称轴是 x 等于多少？,2,multiple_choice,A:-8|B:1|C:3|D:2|E:-2,4,alg_quadratics;alg_functions,quadratic_axis;formula_application,quadratic_vertex_form;axis_of_symmetry,sign_error;coefficient_confusion,二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=2$，$b=-8$，所以 $$x=2$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-axis,九年级：二次函数对称轴,23002,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0013; pages=35-38; lesson=4; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_axis,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_004,二次函数 $y=1$x^2+2x-8 的对称轴是 x 等于多少？,-1,multiple_choice,A:-8|B:0|C:-1|D:1|E:2,5,alg_quadratics;alg_functions,quadratic_axis;formula_application,quadratic_vertex_form;axis_of_symmetry,sign_error;coefficient_confusion,二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=2$，所以 $$x=-1$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-axis,九年级：二次函数对称轴,23003,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0070; pages=173-178; lesson=18; column=thinking_training,AMC8,Algebra Readiness,cn_quadratic_axis,formula_selection;symbolic_fluency,150,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_005,二次函数 $y=2$x^2+4x-3 的对称轴是 x 等于多少？,-1,multiple_choice,A:0|B:-1|C:1|D:4|E:-3,5,alg_quadratics;alg_functions,quadratic_axis;formula_application,quadratic_vertex_form;axis_of_symmetry,sign_error;coefficient_confusion,二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=2$，$b=4$，所以 $$x=-1$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-axis,九年级：二次函数对称轴,23004,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0003; pages=9-12; lesson=unknown; column=thinking_training,AMC8,Algebra Readiness,cn_quadratic_axis,formula_selection;symbolic_fluency,150,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_006,二次函数 $y=1$x^2-10x+7 的对称轴是 x 等于多少？,5,multiple_choice,A:5|B:-5|C:-10|D:7|E:6,5,alg_quadratics;alg_functions,quadratic_axis;formula_application,quadratic_vertex_form;axis_of_symmetry,sign_error;coefficient_confusion,二次函数 y=ax^2+bx+c 的对称轴为 x=-b/(2a)。这里 $a=1$，$b=-10$，所以 $$x=5$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-axis,九年级：二次函数对称轴,23005,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0040; pages=94-96; lesson=9; column=thinking_training,AMC8,Algebra Readiness,cn_quadratic_axis,formula_selection;symbolic_fluency,150,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_007,方程 x^2-7x+10=0 的两个根是多少？,2或5,multiple_choice,A:-2或-5|B:7|C:10|D:3或6|E:2或5,4,alg_quadratics;alg_factoring,quadratic_factoring;zero_product_property,factor_to_roots;quadratic_solving,sign_error;sum_product_confusion,该方程可分解为 (x-2)(x-5)=0，所以 $$x=2$$ 或 $$x=5$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-roots,九年级：二次方程因式分解,23006,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0029; pages=67-70; lesson=6; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_factored_roots,factor_structure;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_008,方程 x^2-10x+21=0 的两个根是多少？,3或7,multiple_choice,A:10|B:21|C:4或8|D:3或7|E:-3或-7,4,alg_quadratics;alg_factoring,quadratic_factoring;zero_product_property,factor_to_roots;quadratic_solving,sign_error;sum_product_confusion,该方程可分解为 (x-3)(x-7)=0，所以 $$x=3$$ 或 $$x=7$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-roots,九年级：二次方程因式分解,23007,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0038; pages=85-91; lesson=9; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_factored_roots,factor_structure;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_009,方程 x^2-3x-4=0 的两个根是多少？,-1或4,multiple_choice,A:-4|B:0或5|C:-1或4|D:1或-4|E:3,4,alg_quadratics;alg_factoring,quadratic_factoring;zero_product_property,factor_to_roots;quadratic_solving,sign_error;sum_product_confusion,该方程可分解为 (x--1)(x-4)=0，所以 $$x=-1$$ 或 $$x=4$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-roots,九年级：二次方程因式分解,23008,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0007; pages=16-18; lesson=2; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_factored_roots,factor_structure;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_010,方程 x^2-4x-12=0 的两个根是多少？,-2或6,multiple_choice,A:-1或7|B:-2或6|C:2或-6|D:4|E:-12,4,alg_quadratics;alg_factoring,quadratic_factoring;zero_product_property,factor_to_roots;quadratic_solving,sign_error;sum_product_confusion,该方程可分解为 (x--2)(x-6)=0，所以 $$x=-2$$ 或 $$x=6$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-roots,九年级：二次方程因式分解,23009,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0015; pages=44-46; lesson=4; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_factored_roots,factor_structure;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_pilot_011,方程 x^2-9x+8=0 的两个根是多少？,1或8,multiple_choice,A:1或8|B:-1或-8|C:9|D:8|E:2或9,4,alg_quadratics;alg_factoring,quadratic_factoring;zero_product_property,factor_to_roots;quadratic_solving,sign_error;sum_product_confusion,该方程可分解为 (x-1)(x-8)=0，所以 $$x=1$$ 或 $$x=8$$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-roots,九年级：二次方程因式分解,23010,jianzisheng_cn_junior_grade9_pilot_v0,尖子生高分题库9年级.pdf; block=grade9_b0045; pages=111-113; lesson=9; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_factored_roots,factor_structure;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
