problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_jzs_elem_pilot_g1_001,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 1，所以最后一个已知数 6 后面再加 1，得到 7。 Step 3: 检查答案格式，得到 7。,只看最后一个数，没有确认前面每一步的变化。,答案 7 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 1，所以最后一个已知数 6 后面再加 1，得到 7。,把递增规律改成递减规律。
cn_jzs_elem_pilot_g1_002,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 10 后面再加 2，得到 12。 Step 3: 检查答案格式，得到 12。,只看最后一个数，没有确认前面每一步的变化。,答案 12 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 10 后面再加 2，得到 12。,把递增规律改成递减规律。
cn_jzs_elem_pilot_g1_003,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 14 后面再加 3，得到 17。 Step 3: 检查答案格式，得到 17。,只看最后一个数，没有确认前面每一步的变化。,答案 17 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 14 后面再加 3，得到 17。,把递增规律改成递减规律。
cn_jzs_elem_pilot_g1_004,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 1，所以最后一个已知数 9 后面再加 1，得到 10。 Step 3: 检查答案格式，得到 10。,只看最后一个数，没有确认前面每一步的变化。,答案 10 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 1，所以最后一个已知数 9 后面再加 1，得到 10。,把递增规律改成递减规律。
cn_jzs_elem_pilot_g1_005,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 13 后面再加 2，得到 15。 Step 3: 检查答案格式，得到 15。,只看最后一个数，没有确认前面每一步的变化。,答案 15 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 13 后面再加 2，得到 15。,把递增规律改成递减规律。
cn_jzs_elem_pilot_g1_006,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 17 后面再加 3，得到 20。 Step 3: 检查答案格式，得到 20。,只看最后一个数，没有确认前面每一步的变化。,答案 20 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 17 后面再加 3，得到 20。,把递增规律改成递减规律。
cn_jzs_elem_pilot_g2_001,先求总数。,借出以后要从总数里减去。,Step 1: 先求总数。 Step 2: 先求一共有 3 x 4 = 12 支，再减去借出的 2 支，剩 10 支。 Step 3: 检查答案格式，得到 10。,把盒数和每盒数量直接相加。,答案 10 正确，因为它保持了题目中的数量关系。先求一共有 3 x 4 = 12 支，再减去借出的 2 支，剩 10 支。,改成又买来若干支，练习先乘后加。
cn_jzs_elem_pilot_g2_002,先求总数。,借出以后要从总数里减去。,Step 1: 先求总数。 Step 2: 先求一共有 4 x 5 = 20 支，再减去借出的 3 支，剩 17 支。 Step 3: 检查答案格式，得到 17。,把盒数和每盒数量直接相加。,答案 17 正确，因为它保持了题目中的数量关系。先求一共有 4 x 5 = 20 支，再减去借出的 3 支，剩 17 支。,改成又买来若干支，练习先乘后加。
cn_jzs_elem_pilot_g2_003,先求总数。,借出以后要从总数里减去。,Step 1: 先求总数。 Step 2: 先求一共有 5 x 6 = 30 支，再减去借出的 4 支，剩 26 支。 Step 3: 检查答案格式，得到 26。,把盒数和每盒数量直接相加。,答案 26 正确，因为它保持了题目中的数量关系。先求一共有 5 x 6 = 30 支，再减去借出的 4 支，剩 26 支。,改成又买来若干支，练习先乘后加。
cn_jzs_elem_pilot_g2_004,先求总数。,借出以后要从总数里减去。,Step 1: 先求总数。 Step 2: 先求一共有 6 x 7 = 42 支，再减去借出的 5 支，剩 37 支。 Step 3: 检查答案格式，得到 37。,把盒数和每盒数量直接相加。,答案 37 正确，因为它保持了题目中的数量关系。先求一共有 6 x 7 = 42 支，再减去借出的 5 支，剩 37 支。,改成又买来若干支，练习先乘后加。
