problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_jzs_elem_b5_g1_001,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 43 后面再加 2，得到 45。 Step 3: 检查答案格式，得到 45。,只看最后一个数，没有确认前面每一步的变化。,答案 45 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 43 后面再加 2，得到 45。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_002,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 47 后面再加 3，得到 50。 Step 3: 检查答案格式，得到 50。,只看最后一个数，没有确认前面每一步的变化。,答案 50 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 47 后面再加 3，得到 50。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_003,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 1，所以最后一个已知数 42 后面再加 1，得到 43。 Step 3: 检查答案格式，得到 43。,只看最后一个数，没有确认前面每一步的变化。,答案 43 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 1，所以最后一个已知数 42 后面再加 1，得到 43。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_004,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 46 后面再加 2，得到 48。 Step 3: 检查答案格式，得到 48。,只看最后一个数，没有确认前面每一步的变化。,答案 48 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 46 后面再加 2，得到 48。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_005,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 50 后面再加 3，得到 53。 Step 3: 检查答案格式，得到 53。,只看最后一个数，没有确认前面每一步的变化。,答案 53 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 50 后面再加 3，得到 53。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_006,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 1，所以最后一个已知数 45 后面再加 1，得到 46。 Step 3: 检查答案格式，得到 46。,只看最后一个数，没有确认前面每一步的变化。,答案 46 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 1，所以最后一个已知数 45 后面再加 1，得到 46。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_007,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 49 后面再加 2，得到 51。 Step 3: 检查答案格式，得到 51。,只看最后一个数，没有确认前面每一步的变化。,答案 51 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 49 后面再加 2，得到 51。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_008,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 53 后面再加 3，得到 56。 Step 3: 检查答案格式，得到 56。,只看最后一个数，没有确认前面每一步的变化。,答案 56 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 53 后面再加 3，得到 56。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_009,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 1，所以最后一个已知数 48 后面再加 1，得到 49。 Step 3: 检查答案格式，得到 49。,只看最后一个数，没有确认前面每一步的变化。,答案 49 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 1，所以最后一个已知数 48 后面再加 1，得到 49。,把递增规律改成递减规律。
cn_jzs_elem_b5_g1_010,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 52 后面再加 2，得到 54。 Step 3: 检查答案格式，得到 54。,只看最后一个数，没有确认前面每一步的变化。,答案 54 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 52 后面再加 2，得到 54。,把递增规律改成递减规律。
