problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_jzs_jr_g7_b2_001,先看两个数的符号是否相同。,异号相加时，结果符号跟绝对值较大的数一致。,Step 1: 先看两个数的符号是否相同。 Step 2: 异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 5。 Step 3: 得到答案 5。,看到加号就把两个绝对值直接相加。,答案 5 正确。异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 5。,改成三个有理数连加，练习先分组。
cn_jzs_jr_g7_b2_002,先看两个数的符号是否相同。,异号相加时，结果符号跟绝对值较大的数一致。,Step 1: 先看两个数的符号是否相同。 Step 2: 异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 -5。 Step 3: 得到答案 -5。,看到加号就把两个绝对值直接相加。,答案 -5 正确。异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 -5。,改成三个有理数连加，练习先分组。
cn_jzs_jr_g7_b2_003,先看两个数的符号是否相同。,异号相加时，结果符号跟绝对值较大的数一致。,Step 1: 先看两个数的符号是否相同。 Step 2: 异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 -14。 Step 3: 得到答案 -14。,看到加号就把两个绝对值直接相加。,答案 -14 正确。异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 -14。,改成三个有理数连加，练习先分组。
cn_jzs_jr_g7_b2_004,先看两个数的符号是否相同。,异号相加时，结果符号跟绝对值较大的数一致。,Step 1: 先看两个数的符号是否相同。 Step 2: 异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 11。 Step 3: 得到答案 11。,看到加号就把两个绝对值直接相加。,答案 11 正确。异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 11。,改成三个有理数连加，练习先分组。
cn_jzs_jr_g7_b2_005,先看两个数的符号是否相同。,异号相加时，结果符号跟绝对值较大的数一致。,Step 1: 先看两个数的符号是否相同。 Step 2: 异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 -8。 Step 3: 得到答案 -8。,看到加号就把两个绝对值直接相加。,答案 -8 正确。异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 -8。,改成三个有理数连加，练习先分组。
cn_jzs_jr_g7_b2_006,先看两个数的符号是否相同。,异号相加时，结果符号跟绝对值较大的数一致。,Step 1: 先看两个数的符号是否相同。 Step 2: 异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 -12。 Step 3: 得到答案 -12。,看到加号就把两个绝对值直接相加。,答案 -12 正确。异号相加时，用绝对值较大的数减去较小的数，再取绝对值较大数的符号，所以结果是 -12。,改成三个有理数连加，练习先分组。
cn_jzs_jr_g7_b2_007,括号外的数要乘括号里的每一项。,注意负数相乘的符号。,Step 1: 括号外的数要乘括号里的每一项。 Step 2: 用 3 分别乘括号里的每一项：$3 \\times 2$x=6x，$3 \\times 5$=15，所以结果是 6x+15。 Step 3: 得到答案 6x+15。,只乘第一项，漏乘常数项。,答案 6x+15 正确。用 3 分别乘括号里的每一项：$3 \\times 2$x=6x，$3 \\times 5$=15，所以结果是 6x+15。,在去括号后再加入同类项合并。
cn_jzs_jr_g7_b2_008,括号外的数要乘括号里的每一项。,注意负数相乘的符号。,Step 1: 括号外的数要乘括号里的每一项。 Step 2: 用 4 分别乘括号里的每一项：$4 \\times 1$x=4x，4×-3=-12，所以结果是 4x-12。 Step 3: 得到答案 4x-12。,只乘第一项，漏乘常数项。,答案 4x-12 正确。用 4 分别乘括号里的每一项：$4 \\times 1$x=4x，4×-3=-12，所以结果是 4x-12。,在去括号后再加入同类项合并。
cn_jzs_jr_g7_b2_009,括号外的数要乘括号里的每一项。,注意负数相乘的符号。,Step 1: 括号外的数要乘括号里的每一项。 Step 2: 用 -2 分别乘括号里的每一项：-$2 \\times 5$x=-10x，-$2 \\times 4$=-8，所以结果是 -10x-8。 Step 3: 得到答案 -10x-8。,只乘第一项，漏乘常数项。,答案 -10x-8 正确。用 -2 分别乘括号里的每一项：-$2 \\times 5$x=-10x，-$2 \\times 4$=-8，所以结果是 -10x-8。,在去括号后再加入同类项合并。
cn_jzs_jr_g7_b2_010,括号外的数要乘括号里的每一项。,注意负数相乘的符号。,Step 1: 括号外的数要乘括号里的每一项。 Step 2: 用 5 分别乘括号里的每一项：5×-2x=-10x，$5 \\times 6$=30，所以结果是 -10x+30。 Step 3: 得到答案 -10x+30。,只乘第一项，漏乘常数项。,答案 -10x+30 正确。用 5 分别乘括号里的每一项：5×-2x=-10x，$5 \\times 6$=30，所以结果是 -10x+30。,在去括号后再加入同类项合并。
cn_jzs_jr_g7_b2_011,括号外的数要乘括号里的每一项。,注意负数相乘的符号。,Step 1: 括号外的数要乘括号里的每一项。 Step 2: 用 -3 分别乘括号里的每一项：-3×-4x=12x，-$3 \\times 2$=-6，所以结果是 12x-6。 Step 3: 得到答案 12x-6。,只乘第一项，漏乘常数项。,答案 12x-6 正确。用 -3 分别乘括号里的每一项：-3×-4x=12x，-$3 \\times 2$=-6，所以结果是 12x-6。,在去括号后再加入同类项合并。
cn_jzs_jr_g7_b2_012,括号外的数要乘括号里的每一项。,注意负数相乘的符号。,Step 1: 括号外的数要乘括号里的每一项。 Step 2: 用 6 分别乘括号里的每一项：$6 \\times 3$x=18x，6×-1=-6，所以结果是 18x-6。 Step 3: 得到答案 18x-6。,只乘第一项，漏乘常数项。,答案 18x-6 正确。用 6 分别乘括号里的每一项：$6 \\times 3$x=18x，6×-1=-6，所以结果是 18x-6。,在去括号后再加入同类项合并。
cn_jzs_jr_g7_b2_013,先设未知数表示票的张数。,总费用由服务费和每张票的费用组成。,Step 1: 先设未知数表示票的张数。 Step 2: 设买了 x 张票，列方程 5x+3=38。先减去服务费，再除以单价，得 $x=7$。 Step 3: 得到答案 7。,直接用总费用除以单价，忘记先减服务费。,答案 7 正确。设买了 x 张票，列方程 5x+3=38。先减去服务费，再除以单价，得 $x=7$。,给出两种票价，建立更复杂的方程。
cn_jzs_jr_g7_b2_014,先设未知数表示票的张数。,总费用由服务费和每张票的费用组成。,Step 1: 先设未知数表示票的张数。 Step 2: 设买了 x 张票，列方程 4x+6=34。先减去服务费，再除以单价，得 $x=7$。 Step 3: 得到答案 7。,直接用总费用除以单价，忘记先减服务费。,答案 7 正确。设买了 x 张票，列方程 4x+6=34。先减去服务费，再除以单价，得 $x=7$。,给出两种票价，建立更复杂的方程。
cn_jzs_jr_g7_b2_015,先设未知数表示票的张数。,总费用由服务费和每张票的费用组成。,Step 1: 先设未知数表示票的张数。 Step 2: 设买了 x 张票，列方程 6x+2=44。先减去服务费，再除以单价，得 $x=7$。 Step 3: 得到答案 7。,直接用总费用除以单价，忘记先减服务费。,答案 7 正确。设买了 x 张票，列方程 6x+2=44。先减去服务费，再除以单价，得 $x=7$。,给出两种票价，建立更复杂的方程。
cn_jzs_jr_g7_b2_016,先设未知数表示票的张数。,总费用由服务费和每张票的费用组成。,Step 1: 先设未知数表示票的张数。 Step 2: 设买了 x 张票，列方程 3x+8=35。先减去服务费，再除以单价，得 $x=9$。 Step 3: 得到答案 9。,直接用总费用除以单价，忘记先减服务费。,答案 9 正确。设买了 x 张票，列方程 3x+8=35。先减去服务费，再除以单价，得 $x=9$。,给出两种票价，建立更复杂的方程。
cn_jzs_jr_g7_b2_017,先设未知数表示票的张数。,总费用由服务费和每张票的费用组成。,Step 1: 先设未知数表示票的张数。 Step 2: 设买了 x 张票，列方程 7x+1=50。先减去服务费，再除以单价，得 $x=7$。 Step 3: 得到答案 7。,直接用总费用除以单价，忘记先减服务费。,答案 7 正确。设买了 x 张票，列方程 7x+1=50。先减去服务费，再除以单价，得 $x=7$。,给出两种票价，建立更复杂的方程。
cn_jzs_jr_g7_b2_018,先设未知数表示票的张数。,总费用由服务费和每张票的费用组成。,Step 1: 先设未知数表示票的张数。 Step 2: 设买了 x 张票，列方程 8x+5=61。先减去服务费，再除以单价，得 $x=7$。 Step 3: 得到答案 7。,直接用总费用除以单价，忘记先减服务费。,答案 7 正确。设买了 x 张票，列方程 8x+5=61。先减去服务费，再除以单价，得 $x=7$。,给出两种票价，建立更复杂的方程。
cn_jzs_jr_g7_b2_019,先像解方程一样移项。,两边除以负数时，不等号方向必须改变。,Step 1: 先像解方程一样移项。 Step 2: 先移项：-2x<-8。两边除以负数 -2 时，不等号方向要改变，所以 x>4。 Step 3: 得到答案 x>4。,除以负数后仍保持原来的不等号方向。,答案 x>4 正确。先移项：-2x<-8。两边除以负数 -2 时，不等号方向要改变，所以 x>4。,把不等式解集画在数轴上。
cn_jzs_jr_g7_b2_020,先像解方程一样移项。,两边除以负数时，不等号方向必须改变。,Step 1: 先像解方程一样移项。 Step 2: 先移项：-3x<-12。两边除以负数 -3 时，不等号方向要改变，所以 x>4。 Step 3: 得到答案 x>4。,除以负数后仍保持原来的不等号方向。,答案 x>4 正确。先移项：-3x<-12。两边除以负数 -3 时，不等号方向要改变，所以 x>4。,把不等式解集画在数轴上。
cn_jzs_jr_g7_b2_021,先像解方程一样移项。,两边除以负数时，不等号方向必须改变。,Step 1: 先像解方程一样移项。 Step 2: 先移项：-4x<-16。两边除以负数 -4 时，不等号方向要改变，所以 x>4。 Step 3: 得到答案 x>4。,除以负数后仍保持原来的不等号方向。,答案 x>4 正确。先移项：-4x<-16。两边除以负数 -4 时，不等号方向要改变，所以 x>4。,把不等式解集画在数轴上。
cn_jzs_jr_g7_b2_022,先像解方程一样移项。,两边除以负数时，不等号方向必须改变。,Step 1: 先像解方程一样移项。 Step 2: 先移项：-5x<-20。两边除以负数 -5 时，不等号方向要改变，所以 x>4。 Step 3: 得到答案 x>4。,除以负数后仍保持原来的不等号方向。,答案 x>4 正确。先移项：-5x<-20。两边除以负数 -5 时，不等号方向要改变，所以 x>4。,把不等式解集画在数轴上。
cn_jzs_jr_g7_b2_023,先像解方程一样移项。,两边除以负数时，不等号方向必须改变。,Step 1: 先像解方程一样移项。 Step 2: 先移项：-6x<-24。两边除以负数 -6 时，不等号方向要改变，所以 x>4。 Step 3: 得到答案 x>4。,除以负数后仍保持原来的不等号方向。,答案 x>4 正确。先移项：-6x<-24。两边除以负数 -6 时，不等号方向要改变，所以 x>4。,把不等式解集画在数轴上。
cn_jzs_jr_g7_b2_024,先像解方程一样移项。,两边除以负数时，不等号方向必须改变。,Step 1: 先像解方程一样移项。 Step 2: 先移项：-7x<-28。两边除以负数 -7 时，不等号方向要改变，所以 x>4。 Step 3: 得到答案 x>4。,除以负数后仍保持原来的不等号方向。,答案 x>4 正确。先移项：-7x<-28。两边除以负数 -7 时，不等号方向要改变，所以 x>4。,把不等式解集画在数轴上。
cn_jzs_jr_g7_b2_025,先写出长方形周长公式。,把含 x 的长和常数宽代入后再化简。,Step 1: 先写出长方形周长公式。 Step 2: 长方形周长为 2(长+宽)，所以 2(2x+3+5)=4x+16。 Step 3: 得到答案 4x+16。,把周长公式和面积公式混淆。,答案 4x+16 正确。长方形周长为 2(长+宽)，所以 2(2x+3+5)=4x+16。,给出周长，反求 x 的值。
cn_jzs_jr_g7_b2_026,先写出长方形周长公式。,把含 x 的长和常数宽代入后再化简。,Step 1: 先写出长方形周长公式。 Step 2: 长方形周长为 2(长+宽)，所以 2(3x-1+4)=6x+6。 Step 3: 得到答案 6x+6。,把周长公式和面积公式混淆。,答案 6x+6 正确。长方形周长为 2(长+宽)，所以 2(3x-1+4)=6x+6。,给出周长，反求 x 的值。
cn_jzs_jr_g7_b2_027,先写出长方形周长公式。,把含 x 的长和常数宽代入后再化简。,Step 1: 先写出长方形周长公式。 Step 2: 长方形周长为 2(长+宽)，所以 2(4x+2+7)=8x+18。 Step 3: 得到答案 8x+18。,把周长公式和面积公式混淆。,答案 8x+18 正确。长方形周长为 2(长+宽)，所以 2(4x+2+7)=8x+18。,给出周长，反求 x 的值。
cn_jzs_jr_g7_b2_028,先写出长方形周长公式。,把含 x 的长和常数宽代入后再化简。,Step 1: 先写出长方形周长公式。 Step 2: 长方形周长为 2(长+宽)，所以 2(5x-3+6)=10x+6。 Step 3: 得到答案 10x+6。,把周长公式和面积公式混淆。,答案 10x+6 正确。长方形周长为 2(长+宽)，所以 2(5x-3+6)=10x+6。,给出周长，反求 x 的值。
cn_jzs_jr_g7_b2_029,先写出长方形周长公式。,把含 x 的长和常数宽代入后再化简。,Step 1: 先写出长方形周长公式。 Step 2: 长方形周长为 2(长+宽)，所以 2(6x+1+8)=12x+18。 Step 3: 得到答案 12x+18。,把周长公式和面积公式混淆。,答案 12x+18 正确。长方形周长为 2(长+宽)，所以 2(6x+1+8)=12x+18。,给出周长，反求 x 的值。
cn_jzs_jr_g7_b2_030,先写出长方形周长公式。,把含 x 的长和常数宽代入后再化简。,Step 1: 先写出长方形周长公式。 Step 2: 长方形周长为 2(长+宽)，所以 2(7x-2+9)=14x+14。 Step 3: 得到答案 14x+14。,把周长公式和面积公式混淆。,答案 14x+14 正确。长方形周长为 2(长+宽)，所以 2(7x-2+9)=14x+14。,给出周长，反求 x 的值。
