problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
eng_math_formula_001,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 3 from both sides to get y - 3 = 2x. Divide by 2: x = (y - 3)/2.,Dividing only the constant by the coefficient.,The correct answer is (y-3)/2 because Subtract 3 from both sides to get y - 3 = 2x. Divide by 2: x = (y - 3)/2.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_002,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 4 from both sides to get y - 4 = 3x. Divide by 3: x = (y - 4)/3.,Dividing only the constant by the coefficient.,The correct answer is (y-4)/3 because Subtract 4 from both sides to get y - 4 = 3x. Divide by 3: x = (y - 4)/3.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_003,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 5 from both sides to get y - 5 = 4x. Divide by 4: x = (y - 5)/4.,Dividing only the constant by the coefficient.,The correct answer is (y-5)/4 because Subtract 5 from both sides to get y - 5 = 4x. Divide by 4: x = (y - 5)/4.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_004,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 6 from both sides to get y - 6 = 5x. Divide by 5: x = (y - 6)/5.,Dividing only the constant by the coefficient.,The correct answer is (y-6)/5 because Subtract 6 from both sides to get y - 6 = 5x. Divide by 5: x = (y - 6)/5.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_005,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 7 from both sides to get y - 7 = 6x. Divide by 6: x = (y - 7)/6.,Dividing only the constant by the coefficient.,The correct answer is (y-7)/6 because Subtract 7 from both sides to get y - 7 = 6x. Divide by 6: x = (y - 7)/6.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_006,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 8 from both sides to get y - 8 = 2x. Divide by 2: x = (y - 8)/2.,Dividing only the constant by the coefficient.,The correct answer is (y-8)/2 because Subtract 8 from both sides to get y - 8 = 2x. Divide by 2: x = (y - 8)/2.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_007,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 3 from both sides to get y - 3 = 3x. Divide by 3: x = (y - 3)/3.,Dividing only the constant by the coefficient.,The correct answer is (y-3)/3 because Subtract 3 from both sides to get y - 3 = 3x. Divide by 3: x = (y - 3)/3.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_008,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 4 from both sides to get y - 4 = 4x. Divide by 4: x = (y - 4)/4.,Dividing only the constant by the coefficient.,The correct answer is (y-4)/4 because Subtract 4 from both sides to get y - 4 = 4x. Divide by 4: x = (y - 4)/4.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_009,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 5 from both sides to get y - 5 = 5x. Divide by 5: x = (y - 5)/5.,Dividing only the constant by the coefficient.,The correct answer is (y-5)/5 because Subtract 5 from both sides to get y - 5 = 5x. Divide by 5: x = (y - 5)/5.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_010,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 6 from both sides to get y - 6 = 6x. Divide by 6: x = (y - 6)/6.,Dividing only the constant by the coefficient.,The correct answer is (y-6)/6 because Subtract 6 from both sides to get y - 6 = 6x. Divide by 6: x = (y - 6)/6.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_011,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 7 from both sides to get y - 7 = 2x. Divide by 2: x = (y - 7)/2.,Dividing only the constant by the coefficient.,The correct answer is (y-7)/2 because Subtract 7 from both sides to get y - 7 = 2x. Divide by 2: x = (y - 7)/2.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_012,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 8 from both sides to get y - 8 = 3x. Divide by 3: x = (y - 8)/3.,Dividing only the constant by the coefficient.,The correct answer is (y-8)/3 because Subtract 8 from both sides to get y - 8 = 3x. Divide by 3: x = (y - 8)/3.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_013,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 3 from both sides to get y - 3 = 4x. Divide by 4: x = (y - 3)/4.,Dividing only the constant by the coefficient.,The correct answer is (y-3)/4 because Subtract 3 from both sides to get y - 3 = 4x. Divide by 4: x = (y - 3)/4.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_014,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 4 from both sides to get y - 4 = 5x. Divide by 5: x = (y - 4)/5.,Dividing only the constant by the coefficient.,The correct answer is (y-4)/5 because Subtract 4 from both sides to get y - 4 = 5x. Divide by 5: x = (y - 4)/5.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_015,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 5 from both sides to get y - 5 = 6x. Divide by 6: x = (y - 5)/6.,Dividing only the constant by the coefficient.,The correct answer is (y-5)/6 because Subtract 5 from both sides to get y - 5 = 6x. Divide by 6: x = (y - 5)/6.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_016,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 6 from both sides to get y - 6 = 2x. Divide by 2: x = (y - 6)/2.,Dividing only the constant by the coefficient.,The correct answer is (y-6)/2 because Subtract 6 from both sides to get y - 6 = 2x. Divide by 2: x = (y - 6)/2.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_017,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 7 from both sides to get y - 7 = 3x. Divide by 3: x = (y - 7)/3.,Dividing only the constant by the coefficient.,The correct answer is (y-7)/3 because Subtract 7 from both sides to get y - 7 = 3x. Divide by 3: x = (y - 7)/3.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_018,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 8 from both sides to get y - 8 = 4x. Divide by 4: x = (y - 8)/4.,Dividing only the constant by the coefficient.,The correct answer is (y-8)/4 because Subtract 8 from both sides to get y - 8 = 4x. Divide by 4: x = (y - 8)/4.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_019,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 3 from both sides to get y - 3 = 5x. Divide by 5: x = (y - 3)/5.,Dividing only the constant by the coefficient.,The correct answer is (y-3)/5 because Subtract 3 from both sides to get y - 3 = 5x. Divide by 5: x = (y - 3)/5.,Use a formula with a denominator and solve for the numerator variable.
eng_math_formula_020,Undo the addition before undoing the multiplication.,Keep the entire expression y minus the constant in the numerator.,Subtract 4 from both sides to get y - 4 = 6x. Divide by 6: x = (y - 4)/6.,Dividing only the constant by the coefficient.,The correct answer is (y-4)/6 because Subtract 4 from both sides to get y - 4 = 6x. Divide by 6: x = (y - 4)/6.,Use a formula with a denominator and solve for the numerator variable.
eng_math_units_001,Decide whether centimetres are smaller or larger than metres.,Divide by 100 to convert centimetres to metres.,"There are 100 cm in 1 metre, so 120 cm = 120/100 = 1.2 m.",Multiplying by 100 instead of dividing by 100.,"The correct answer is 1.2 because There are 100 cm in 1 metre, so 120 cm = 120/100 = 1.2 m.",Convert millimetres to metres before substituting into a formula.
eng_math_units_002,Decide whether centimetres are smaller or larger than metres.,Divide by 100 to convert centimetres to metres.,"There are 100 cm in 1 metre, so 135 cm = 135/100 = 1.35 m.",Multiplying by 100 instead of dividing by 100.,"The correct answer is 1.35 because There are 100 cm in 1 metre, so 135 cm = 135/100 = 1.35 m.",Convert millimetres to metres before substituting into a formula.
