id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes
college_alg_real_001,Evaluate 18 - 7 x 2.,4,multiple_choice,A:4|B:22|C:13|D:32|E:11,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 7 x 2 = 14. Then 18 - 14 = 4.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5000,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_002,Evaluate 19 - 8 x 3.,-5,multiple_choice,A:33|B:14|C:43|D:3|E:-5,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 8 x 3 = 24. Then 19 - 24 = -5.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5001,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_003,Evaluate 20 - 9 x 4.,-16,multiple_choice,A:15|B:56|C:-7|D:-16|E:44,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 9 x 4 = 36. Then 20 - 36 = -16.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5002,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_004,Evaluate 21 - 10 x 5.,-29,multiple_choice,A:71|B:-19|C:-29|D:55|E:16,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 10 x 5 = 50. Then 21 - 50 = -29.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5003,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_005,Evaluate 22 - 11 x 6.,-44,multiple_choice,A:-33|B:-44|C:66|D:17|E:88,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 11 x 6 = 66. Then 22 - 66 = -44.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5004,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_006,Evaluate 23 - 12 x 2.,-1,multiple_choice,A:-1|B:22|C:13|D:47|E:11,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 12 x 2 = 24. Then 23 - 24 = -1.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5005,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_007,Evaluate 24 - 7 x 3.,3,multiple_choice,A:51|B:20|C:45|D:10|E:3,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 7 x 3 = 21. Then 24 - 21 = 3.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5006,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_008,Evaluate 25 - 8 x 4.,-7,multiple_choice,A:21|B:57|C:1|D:-7|E:68,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 8 x 4 = 32. Then 25 - 32 = -7.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5007,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_009,Evaluate 26 - 9 x 5.,-19,multiple_choice,A:71|B:-10|C:-19|D:85|E:22,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 9 x 5 = 45. Then 26 - 45 = -19.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5008,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
college_alg_real_010,Evaluate 27 - 10 x 6.,-33,multiple_choice,A:-23|B:-33|C:102|D:23|E:87,2,arith_integers;arith_natural_numbers,order_of_operations;integer_arithmetic,operation_order;fluency_precision,operation_order_error;sign_error,Use order of operations: 10 x 6 = 60. Then 27 - 60 = -33.,Algebra 1,Foundations for College Algebra,college-algebra-00-real-numbers-coordinate-plane,Real Numbers and the Coordinate Plane,5009,college_algebra_stitz_zeager,"local-pdf: College Algebra -- Carl Stitz, Jeff Zeager.pdf; College Algebra 1.1 Sets of Real Numbers",Foundation,Bridge,computation,operation_order;fluency_precision,90,Original-equivalent bridge item generated from local textbook coverage signals. No full textbook exercise text is reproduced.
