problem_id,choice_label,value,misconception,cognitive_tag,explanation
cn_pilot_001,B,4/12,fraction_structure_error,part_whole_reasoning,这个选项反映了分数结构理解错误。
cn_pilot_001,C,1/2,fraction_structure_error,part_whole_reasoning,这个选项反映了分数结构理解错误。
cn_pilot_001,D,5/8,fraction_structure_error,part_whole_reasoning,这个选项反映了分数结构理解错误。
cn_pilot_001,E,3/8,fraction_structure_error,part_whole_reasoning,这个选项反映了分数结构理解错误。
cn_pilot_002,A,55,percent_base_error,multiplicative_reasoning,这个选项反映了百分数基准量理解错误。
cn_pilot_002,B,75,percent_base_error,multiplicative_reasoning,这个选项反映了百分数基准量理解错误。
cn_pilot_002,C,20,percent_base_error,multiplicative_reasoning,这个选项反映了百分数基准量理解错误。
cn_pilot_002,D,100,percent_base_error,multiplicative_reasoning,这个选项反映了百分数基准量理解错误。
cn_pilot_003,A,12,operation_error,inverse_operations,这个选项反映了运算步骤错误。
cn_pilot_003,B,5,operation_error,inverse_operations,这个选项反映了运算步骤错误。
cn_pilot_003,C,7,operation_error,inverse_operations,这个选项反映了运算步骤错误。
cn_pilot_003,E,11,operation_error,inverse_operations,这个选项反映了运算步骤错误。
cn_pilot_004,A,x(x+5)+6,factor_structure_error,factor_structure,这个选项反映了因式结构判断错误。
cn_pilot_004,B,(x+2)(x-3),factor_structure_error,factor_structure,这个选项反映了因式结构判断错误。
cn_pilot_004,D,(x+1)(x+6),factor_structure_error,factor_structure,这个选项反映了因式结构判断错误。
cn_pilot_004,E,(x-2)(x-3),factor_structure_error,factor_structure,这个选项反映了因式结构判断错误。
cn_pilot_005,A,-7,operation_error,input_output_mapping,这个选项反映了运算步骤错误。
cn_pilot_005,C,10,operation_error,input_output_mapping,这个选项反映了运算步骤错误。
cn_pilot_005,D,13,operation_error,input_output_mapping,这个选项反映了运算步骤错误。
cn_pilot_005,E,2,operation_error,input_output_mapping,这个选项反映了运算步骤错误。
cn_pilot_006,B,"-2,-3",factor_structure_error,factor_structure,这个选项反映了因式结构判断错误。
cn_pilot_006,C,"1,6",factor_structure_error,factor_structure,这个选项反映了因式结构判断错误。
cn_pilot_006,D,"5,6",factor_structure_error,factor_structure,这个选项反映了因式结构判断错误。
cn_pilot_006,E,"2,-3",factor_structure_error,factor_structure,这个选项反映了因式结构判断错误。
cn_pilot_007,A,"(-2,1)",factor_structure_error,structure_recognition,这个选项反映了因式结构判断错误。
cn_pilot_007,B,"(2,-1)",factor_structure_error,structure_recognition,这个选项反映了因式结构判断错误。
cn_pilot_007,C,"(-2,-1)",factor_structure_error,structure_recognition,这个选项反映了因式结构判断错误。
cn_pilot_007,D,"(1,2)",factor_structure_error,structure_recognition,这个选项反映了因式结构判断错误。
cn_pilot_008,A,60,operation_error,geometric_reasoning,这个选项反映了运算步骤错误。
cn_pilot_008,B,90,operation_error,geometric_reasoning,这个选项反映了运算步骤错误。
cn_pilot_008,C,100,operation_error,geometric_reasoning,这个选项反映了运算步骤错误。
cn_pilot_008,E,40,operation_error,geometric_reasoning,这个选项反映了运算步骤错误。
cn_pilot_009,A,3,counting_structure_error,number_structure,这个选项反映了计数结构理解错误。
cn_pilot_009,B,20,counting_structure_error,number_structure,这个选项反映了计数结构理解错误。
cn_pilot_009,D,5,counting_structure_error,number_structure,这个选项反映了计数结构理解错误。
cn_pilot_009,E,7,counting_structure_error,number_structure,这个选项反映了计数结构理解错误。
cn_pilot_010,A,24,counting_structure_error,counting_structure,这个选项反映了计数结构理解错误。
cn_pilot_010,C,25,counting_structure_error,counting_structure,这个选项反映了计数结构理解错误。
cn_pilot_010,D,10,counting_structure_error,counting_structure,这个选项反映了计数结构理解错误。
cn_pilot_010,E,60,counting_structure_error,counting_structure,这个选项反映了计数结构理解错误。
