id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g9_b3_001,一元二次方程 1x^2-5x+6=0 的判别式 Δ 的值是多少？,1,multiple_choice,A:1|B:49|C:-29|D:-1|E:5,4,alg_quadratics;alg_functions,quadratic_discriminant;formula_application,discriminant;quadratic_roots_structure,discriminant_sign_error;coefficient_confusion,判别式 Δ=b^2-4ac=-$5^2$-$4 \\times 1$×6=1。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-discriminant,九年级：一元二次方程判别式,23200,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0110; pages=261-262; lesson=18; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_discriminant,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_002,一元二次方程 1x^2-4x+4=0 的判别式 Δ 的值是多少？,0,multiple_choice,A:32|B:-20|C:4|D:5|E:0,4,alg_quadratics;alg_functions,quadratic_discriminant;formula_application,discriminant;quadratic_roots_structure,discriminant_sign_error;coefficient_confusion,判别式 Δ=b^2-4ac=-$4^2$-$4 \\times 1$×4=0。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-discriminant,九年级：一元二次方程判别式,23201,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0005; pages=13-14; lesson=2; column=topic_overview,Honors,Algebra Readiness,cn_quadratic_discriminant,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_003,一元二次方程 2x^2+3x+5=0 的判别式 Δ 的值是多少？,-31,multiple_choice,A:-37|B:31|C:-27|D:-31|E:49,4,alg_quadratics;alg_functions,quadratic_discriminant;formula_application,discriminant;quadratic_roots_structure,discriminant_sign_error;coefficient_confusion,判别式 Δ=b^2-4ac=$3^2$-$4 \\times 2$×5=-31。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-discriminant,九年级：一元二次方程判别式,23202,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0059; pages=142-142; lesson=9; column=competition_boost,Honors,Algebra Readiness,cn_quadratic_discriminant,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_004,一元二次方程 1x^2+2x-3=0 的判别式 Δ 的值是多少？,16,multiple_choice,A:-16|B:20|C:16|D:-8|E:14,4,alg_quadratics;alg_functions,quadratic_discriminant;formula_application,discriminant;quadratic_roots_structure,discriminant_sign_error;coefficient_confusion,判别式 Δ=b^2-4ac=$2^2$-$4 \\times 1$×-3=16。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-discriminant,九年级：一元二次方程判别式,23203,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0099; pages=243-245; lesson=6; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_discriminant,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_005,一元二次方程 3x^2-6x+3=0 的判别式 Δ 的值是多少？,0,multiple_choice,A:5|B:0|C:72|D:-42|E:4,4,alg_quadratics;alg_functions,quadratic_discriminant;formula_application,discriminant;quadratic_roots_structure,discriminant_sign_error;coefficient_confusion,判别式 Δ=b^2-4ac=-$6^2$-$4 \\times 3$×3=0。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-discriminant,九年级：一元二次方程判别式,23204,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0103; pages=249-251; lesson=10; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_discriminant,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_006,一元二次方程 2x^2-7x+3=0 的判别式 Δ 的值是多少？,25,multiple_choice,A:25|B:73|C:-31|D:-25|E:29,4,alg_quadratics;alg_functions,quadratic_discriminant;formula_application,discriminant;quadratic_roots_structure,discriminant_sign_error;coefficient_confusion,判别式 Δ=b^2-4ac=-$7^2$-$4 \\times 2$×3=25。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-discriminant,九年级：一元二次方程判别式,23205,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0037; pages=83-85; lesson=9; column=topic_overview,Honors,Algebra Readiness,cn_quadratic_discriminant,formula_selection;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_007,一个矩形花坛一边靠墙，另外三边用 18 米篱笆围成。若垂直墙的边长为 3 米，则花坛面积是多少平方米？,36,multiple_choice,A:15|B:54|C:39|D:27|E:36,4,alg_quadratics;geo_area;prealg_word_to_equation,quadratic_modeling;area_model,rectangle_fence_model;optimization_readiness,perimeter_area_confusion;missing_wall_constraint,靠墙时篱笆只围三边，另一条平行墙的边长为 12 米。面积=$12 \\times 3$=36。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-modeling,九年级：二次函数应用模型,23206,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0104; pages=251-252; lesson=11; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_area_model,modeling;operation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_008,一个矩形花坛一边靠墙，另外三边用 24 米篱笆围成。若垂直墙的边长为 4 米，则花坛面积是多少平方米？,64,multiple_choice,A:96|B:68|C:36|D:64|E:20,4,alg_quadratics;geo_area;prealg_word_to_equation,quadratic_modeling;area_model,rectangle_fence_model;optimization_readiness,perimeter_area_confusion;missing_wall_constraint,靠墙时篱笆只围三边，另一条平行墙的边长为 16 米。面积=$16 \\times 4$=64。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-modeling,九年级：二次函数应用模型,23207,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0008; pages=18-19; lesson=2; column=competition_boost,Honors,Algebra Readiness,cn_quadratic_area_model,modeling;operation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_009,一个矩形花坛一边靠墙，另外三边用 30 米篱笆围成。若垂直墙的边长为 5 米，则花坛面积是多少平方米？,100,multiple_choice,A:105|B:45|C:100|D:25|E:150,4,alg_quadratics;geo_area;prealg_word_to_equation,quadratic_modeling;area_model,rectangle_fence_model;optimization_readiness,perimeter_area_confusion;missing_wall_constraint,靠墙时篱笆只围三边，另一条平行墙的边长为 20 米。面积=$20 \\times 5$=100。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-modeling,九年级：二次函数应用模型,23208,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0016; pages=46-48; lesson=4; column=competition_boost,Honors,Algebra Readiness,cn_quadratic_area_model,modeling;operation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_010,一个矩形花坛一边靠墙，另外三边用 14 米篱笆围成。若垂直墙的边长为 2 米，则花坛面积是多少平方米？,20,multiple_choice,A:25|B:20|C:12|D:28|E:22,4,alg_quadratics;geo_area;prealg_word_to_equation,quadratic_modeling;area_model,rectangle_fence_model;optimization_readiness,perimeter_area_confusion;missing_wall_constraint,靠墙时篱笆只围三边，另一条平行墙的边长为 10 米。面积=$10 \\times 2$=20。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-modeling,九年级：二次函数应用模型,23209,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0022; pages=55-56; lesson=6; column=competition_boost,Honors,Algebra Readiness,cn_quadratic_area_model,modeling;operation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b3_011,一个矩形花坛一边靠墙，另外三边用 30 米篱笆围成。若垂直墙的边长为 6 米，则花坛面积是多少平方米？,108,multiple_choice,A:108|B:24|C:180|D:114|E:42,4,alg_quadratics;geo_area;prealg_word_to_equation,quadratic_modeling;area_model,rectangle_fence_model;optimization_readiness,perimeter_area_confusion;missing_wall_constraint,靠墙时篱笆只围三边，另一条平行墙的边长为 18 米。面积=$18 \\times 6$=108。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-modeling,九年级：二次函数应用模型,23210,jianzisheng_cn_junior_grade9_batch3_v0,尖子生高分题库9年级.pdf; block=grade9_b0030; pages=70-72; lesson=6; column=competition_boost,Honors,Algebra Readiness,cn_quadratic_area_model,modeling;operation_selection,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
