problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_001,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 4x=20，再两边除以 4，得到 x=5。 步骤 3：得到答案 5。,移项忘记变号。,答案 5 正确。先移项得 4x=20，再两边除以 4，得到 x=5。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_002,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 5x=30，再两边除以 5，得到 x=6。 步骤 3：得到答案 6。,移项忘记变号。,答案 6 正确。先移项得 5x=30，再两边除以 5，得到 x=6。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_003,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 6x=42，再两边除以 6，得到 x=7。 步骤 3：得到答案 7。,移项忘记变号。,答案 7 正确。先移项得 6x=42，再两边除以 6，得到 x=7。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_004,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 7x=56，再两边除以 7，得到 x=8。 步骤 3：得到答案 8。,移项忘记变号。,答案 8 正确。先移项得 7x=56，再两边除以 7，得到 x=8。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_005,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 8x=72，再两边除以 8，得到 x=9。 步骤 3：得到答案 9。,移项忘记变号。,答案 9 正确。先移项得 8x=72，再两边除以 8，得到 x=9。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_006,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 2x=20，再两边除以 2，得到 x=10。 步骤 3：得到答案 10。,移项忘记变号。,答案 10 正确。先移项得 2x=20，再两边除以 2，得到 x=10。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_007,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 3x=33，再两边除以 3，得到 x=11。 步骤 3：得到答案 11。,移项忘记变号。,答案 11 正确。先移项得 3x=33，再两边除以 3，得到 x=11。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_008,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 4x=12，再两边除以 4，得到 x=3。 步骤 3：得到答案 3。,移项忘记变号。,答案 3 正确。先移项得 4x=12，再两边除以 4，得到 x=3。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_009,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 5x=20，再两边除以 5，得到 x=4。 步骤 3：得到答案 4。,移项忘记变号。,答案 4 正确。先移项得 5x=20，再两边除以 5，得到 x=4。,换一组数值，继续练习同一章节的核心结构。
jianzisheng_cn_junior_chapter_expansion_v1_cn-junior-01-linear-equations_010,先把常数项移到另一边。,再把 x 的系数化为 1。,步骤 1：先把常数项移到另一边。 步骤 2：先移项得 6x=30，再两边除以 6，得到 x=5。 步骤 3：得到答案 5。,移项忘记变号。,答案 5 正确。先移项得 6x=30，再两边除以 6，得到 x=5。,换一组数值，继续练习同一章节的核心结构。
