problem_id,choice_label,value,misconception,cognitive_tag,explanation
cn_jzs_jr_g9_b3_001,B,49,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_001,C,-29,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_001,D,-1,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_001,E,5,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_002,A,32,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_002,B,-20,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_002,C,4,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_002,D,5,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_003,A,-37,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_003,B,31,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_003,C,-27,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_003,E,49,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_004,A,-16,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_004,B,20,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_004,D,-8,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_004,E,14,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_005,A,5,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_005,C,72,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_005,D,-42,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_005,E,4,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_006,B,73,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_006,C,-31,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_006,D,-25,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_006,E,29,quadratic_structure_error,formula_selection,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_007,A,15,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_007,B,54,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_007,C,39,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_007,D,27,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_008,A,96,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_008,B,68,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_008,C,36,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_008,E,20,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_009,A,105,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_009,B,45,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_009,D,25,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_009,E,150,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_010,A,25,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_010,C,12,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_010,D,28,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_010,E,22,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_011,B,24,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_011,C,180,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_011,D,114,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
cn_jzs_jr_g9_b3_011,E,42,quadratic_structure_error,modeling,这个选项通常来自二次式结构、符号或因式分解关系判断错误。
