problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
college_alg_fn_001,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 1: f(1) = 2(1) + 3 = 2 + 3 = 5.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 5 because Substitute x = 1: f(1) = 2(1) + 3 = 2 + 3 = 5.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_002,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 2: f(2) = 3(2) + 4 = 6 + 4 = 10.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 10 because Substitute x = 2: f(2) = 3(2) + 4 = 6 + 4 = 10.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_003,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 3: f(3) = 4(3) + 5 = 12 + 5 = 17.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 17 because Substitute x = 3: f(3) = 4(3) + 5 = 12 + 5 = 17.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_004,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 4: f(4) = 5(4) + 6 = 20 + 6 = 26.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 26 because Substitute x = 4: f(4) = 5(4) + 6 = 20 + 6 = 26.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_005,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 5: f(5) = 2(5) + 7 = 10 + 7 = 17.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 17 because Substitute x = 5: f(5) = 2(5) + 7 = 10 + 7 = 17.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_006,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 6: f(6) = 3(6) + 8 = 18 + 8 = 26.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 26 because Substitute x = 6: f(6) = 3(6) + 8 = 18 + 8 = 26.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_007,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 7: f(7) = 4(7) + 3 = 28 + 3 = 31.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 31 because Substitute x = 7: f(7) = 4(7) + 3 = 28 + 3 = 31.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_008,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 8: f(8) = 5(8) + 4 = 40 + 4 = 44.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 44 because Substitute x = 8: f(8) = 5(8) + 4 = 40 + 4 = 44.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_009,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 1: f(1) = 2(1) + 5 = 2 + 5 = 7.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 7 because Substitute x = 1: f(1) = 2(1) + 5 = 2 + 5 = 7.,Use a quadratic rule and evaluate at a negative input.
college_alg_fn_010,Replace x with the input value.,Evaluate the multiplication before adding the constant.,Substitute x = 2: f(2) = 3(2) + 6 = 6 + 6 = 12.,Adding the input to the coefficient instead of multiplying first.,The correct answer is 12 because Substitute x = 2: f(2) = 3(2) + 6 = 6 + 6 = 12.,Use a quadratic rule and evaluate at a negative input.
