id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g9_b2_001,二次函数 $y=1$(x-2)^2-3 的最小值是多少？,-3,multiple_choice,A:-3|B:2|C:1|D:-2|E:3,4,alg_quadratics;alg_functions,quadratic_vertex_form;minimum_value,vertex_form_minimum;quadratic_graph,vertex_coordinate_confusion;coefficient_as_minimum,函数写成顶点式 y=a(x-h)^2+k，且 $a=1$>0，所以最小值为 $k=-3$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-minimum,九年级：二次函数最值,23100,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0082; pages=203-207; lesson=18; column=topic_overview,Honors,Algebra Readiness,cn_quadratic_minimum_value,structure_recognition;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_002,二次函数 $y=2$(x+1)^2+4 的最小值是多少？,4,multiple_choice,A:-1|B:2|C:6|D:-4|E:4,4,alg_quadratics;alg_functions,quadratic_vertex_form;minimum_value,vertex_form_minimum;quadratic_graph,vertex_coordinate_confusion;coefficient_as_minimum,函数写成顶点式 y=a(x-h)^2+k，且 $a=2$>0，所以最小值为 $k=4$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-minimum,九年级：二次函数最值,23101,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0056; pages=131-135; lesson=9; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_minimum_value,structure_recognition;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_003,二次函数 $y=1$(x+3)^2+2 的最小值是多少？,2,multiple_choice,A:1|B:3|C:-2|D:2|E:-3,4,alg_quadratics;alg_functions,quadratic_vertex_form;minimum_value,vertex_form_minimum;quadratic_graph,vertex_coordinate_confusion;coefficient_as_minimum,函数写成顶点式 y=a(x-h)^2+k，且 $a=1$>0，所以最小值为 $k=2$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-minimum,九年级：二次函数最值,23102,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0105; pages=252-257; lesson=12; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_minimum_value,structure_recognition;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_004,二次函数 $y=3$(x-1)^2-5 的最小值是多少？,-5,multiple_choice,A:-2|B:5|C:-5|D:1|E:3,4,alg_quadratics;alg_functions,quadratic_vertex_form;minimum_value,vertex_form_minimum;quadratic_graph,vertex_coordinate_confusion;coefficient_as_minimum,函数写成顶点式 y=a(x-h)^2+k，且 $a=3$>0，所以最小值为 $k=-5$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-minimum,九年级：二次函数最值,23103,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0098; pages=240-243; lesson=4; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_minimum_value,structure_recognition;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_005,二次函数 $y=2$(x-4)^2+1 的最小值是多少？,1,multiple_choice,A:-1|B:1|C:4|D:2|E:3,4,alg_quadratics;alg_functions,quadratic_vertex_form;minimum_value,vertex_form_minimum;quadratic_graph,vertex_coordinate_confusion;coefficient_as_minimum,函数写成顶点式 y=a(x-h)^2+k，且 $a=2$>0，所以最小值为 $k=1$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-minimum,九年级：二次函数最值,23104,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0111; pages=262-267; lesson=19; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_minimum_value,structure_recognition;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_006,二次函数 $y=1$(x+2)^2-6 的最小值是多少？,-6,multiple_choice,A:-6|B:-2|C:1|D:-5|E:6,4,alg_quadratics;alg_functions,quadratic_vertex_form;minimum_value,vertex_form_minimum;quadratic_graph,vertex_coordinate_confusion;coefficient_as_minimum,函数写成顶点式 y=a(x-h)^2+k，且 $a=1$>0，所以最小值为 $k=-6$。,CN Junior High Math,二次函数,cn-junior-g9-quadratic-minimum,九年级：二次函数最值,23105,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0049; pages=118-120; lesson=9; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_minimum_value,structure_recognition;symbolic_fluency,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_007,函数 y=(x-2)^2+3 可由 y=x^2 怎样平移得到？,向右2个单位，向上3个单位,multiple_choice,A:向左2个单位，向上3个单位|B:向右2个单位，向下3个单位|C:只向右2个单位|D:只向上3个单位|E:向右2个单位，向上3个单位,4,alg_quadratics;alg_graphing;alg_functions,quadratic_translation;vertex_interpretation,graph_transformation;vertex_form,horizontal_shift_sign_error;vertical_shift_error,"顶点式 y=(x-h)^2+k 表示由 y=x^2 平移到顶点 (2,3)，所以答案为“向右2个单位，向上3个单位”。",CN Junior High Math,二次函数,cn-junior-g9-quadratic-translation,九年级：二次函数图像平移,23106,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0053; pages=124-125; lesson=9; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_translation,spatial_reasoning;structure_recognition,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_008,函数 y=(x+1)^2+4 可由 y=x^2 怎样平移得到？,向左1个单位，向上4个单位,multiple_choice,A:向左1个单位，向下4个单位|B:只向左1个单位|C:只向上4个单位|D:向左1个单位，向上4个单位|E:向右1个单位，向上4个单位,4,alg_quadratics;alg_graphing;alg_functions,quadratic_translation;vertex_interpretation,graph_transformation;vertex_form,horizontal_shift_sign_error;vertical_shift_error,"顶点式 y=(x-h)^2+k 表示由 y=x^2 平移到顶点 (-1,4)，所以答案为“向左1个单位，向上4个单位”。",CN Junior High Math,二次函数,cn-junior-g9-quadratic-translation,九年级：二次函数图像平移,23107,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0078; pages=191-196; lesson=18; column=topic_overview,Honors,Algebra Readiness,cn_quadratic_translation,spatial_reasoning;structure_recognition,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_009,函数 y=(x-3)^2-2 可由 y=x^2 怎样平移得到？,向右3个单位，向下2个单位,multiple_choice,A:只向右3个单位|B:只向下2个单位|C:向右3个单位，向下2个单位|D:向左3个单位，向下2个单位|E:向右3个单位，向上2个单位,4,alg_quadratics;alg_graphing;alg_functions,quadratic_translation;vertex_interpretation,graph_transformation;vertex_form,horizontal_shift_sign_error;vertical_shift_error,"顶点式 y=(x-h)^2+k 表示由 y=x^2 平移到顶点 (3,-2)，所以答案为“向右3个单位，向下2个单位”。",CN Junior High Math,二次函数,cn-junior-g9-quadratic-translation,九年级：二次函数图像平移,23108,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0080; pages=199-202; lesson=18; column=competition_boost,Honors,Algebra Readiness,cn_quadratic_translation,spatial_reasoning;structure_recognition,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_010,函数 y=(x+2)^2-5 可由 y=x^2 怎样平移得到？,向左2个单位，向下5个单位,multiple_choice,A:只向下5个单位|B:向左2个单位，向下5个单位|C:向右2个单位，向下5个单位|D:向左2个单位，向上5个单位|E:只向左2个单位,4,alg_quadratics;alg_graphing;alg_functions,quadratic_translation;vertex_interpretation,graph_transformation;vertex_form,horizontal_shift_sign_error;vertical_shift_error,"顶点式 y=(x-h)^2+k 表示由 y=x^2 平移到顶点 (-2,-5)，所以答案为“向左2个单位，向下5个单位”。",CN Junior High Math,二次函数,cn-junior-g9-quadratic-translation,九年级：二次函数图像平移,23109,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0093; pages=225-229; lesson=18; column=topic_overview,Honors,Algebra Readiness,cn_quadratic_translation,spatial_reasoning;structure_recognition,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g9_b2_011,函数 y=(x-4)^2+1 可由 y=x^2 怎样平移得到？,向右4个单位，向上1个单位,multiple_choice,A:向右4个单位，向上1个单位|B:向左4个单位，向上1个单位|C:向右4个单位，向下1个单位|D:只向右4个单位|E:只向上1个单位,4,alg_quadratics;alg_graphing;alg_functions,quadratic_translation;vertex_interpretation,graph_transformation;vertex_form,horizontal_shift_sign_error;vertical_shift_error,"顶点式 y=(x-h)^2+k 表示由 y=x^2 平移到顶点 (4,1)，所以答案为“向右4个单位，向上1个单位”。",CN Junior High Math,二次函数,cn-junior-g9-quadratic-translation,九年级：二次函数图像平移,23110,jianzisheng_cn_junior_grade9_batch2_v0,尖子生高分题库9年级.pdf; block=grade9_b0097; pages=238-240; lesson=3; column=thinking_training,Honors,Algebra Readiness,cn_quadratic_translation,spatial_reasoning;structure_recognition,130,Grade 9 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
