id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g8_b3_001,两个三角形相似。小三角形的一组对应边为 3 和 5，大三角形中与 3 对应的边为 9，则与 5 对应的边长是多少？,15,multiple_choice,A:15|B:14|C:11|D:18|E:2,4,geo_similarity;arith_proportions;geo_triangles,similarity_ratio;proportional_reasoning,scale_factor;corresponding_sides,additive_scaling_error;correspondence_error,相似三角形对应边成比例，放大倍数为 9÷3=3，所以对应边为 $5 \\times 3$=15。,CN Junior High Math,相似三角形,cn-junior-g8-similarity,八年级：相似三角形比例,22200,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0044; pages=122-123; lesson=13; column=thinking_training,Honors,AMC8 Transfer,cn_similarity_scale_factor,multiplicative_reasoning;structure_recognition,130,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_002,两个三角形相似。小三角形的一组对应边为 4 和 7，大三角形中与 4 对应的边为 12，则与 7 对应的边长是多少？,21,multiple_choice,A:19|B:15|C:25|D:2|E:21,4,geo_similarity;arith_proportions;geo_triangles,similarity_ratio;proportional_reasoning,scale_factor;corresponding_sides,additive_scaling_error;correspondence_error,相似三角形对应边成比例，放大倍数为 12÷4=3，所以对应边为 $7 \\times 3$=21。,CN Junior High Math,相似三角形,cn-junior-g8-similarity,八年级：相似三角形比例,22201,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0084; pages=236-240; lesson=24; column=competition_boost,Honors,AMC8 Transfer,cn_similarity_scale_factor,multiplicative_reasoning;structure_recognition,130,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_003,两个三角形相似。小三角形的一组对应边为 5 和 8，大三角形中与 5 对应的边为 15，则与 8 对应的边长是多少？,24,multiple_choice,A:18|B:29|C:3|D:24|E:23,4,geo_similarity;arith_proportions;geo_triangles,similarity_ratio;proportional_reasoning,scale_factor;corresponding_sides,additive_scaling_error;correspondence_error,相似三角形对应边成比例，放大倍数为 15÷5=3，所以对应边为 $8 \\times 3$=24。,CN Junior High Math,相似三角形,cn-junior-g8-similarity,八年级：相似三角形比例,22202,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0092; pages=257-260; lesson=14; column=thinking_training,Honors,AMC8 Transfer,cn_similarity_scale_factor,multiplicative_reasoning;structure_recognition,130,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_004,两个三角形相似。小三角形的一组对应边为 6 和 11，大三角形中与 6 对应的边为 18，则与 11 对应的边长是多少？,33,multiple_choice,A:39|B:4|C:33|D:29|E:23,5,geo_similarity;arith_proportions;geo_triangles,similarity_ratio;proportional_reasoning,scale_factor;corresponding_sides,additive_scaling_error;correspondence_error,相似三角形对应边成比例，放大倍数为 18÷6=3，所以对应边为 $11 \\times 3$=33。,CN Junior High Math,相似三角形,cn-junior-g8-similarity,八年级：相似三角形比例,22203,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0086; pages=243-245; lesson=3; column=thinking_training,AMC8,AMC8 Transfer,cn_similarity_scale_factor,multiplicative_reasoning;structure_recognition,150,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_005,两个三角形相似。小三角形的一组对应边为 7 和 10，大三角形中与 7 对应的边为 21，则与 10 对应的边长是多少？,30,multiple_choice,A:3|B:30|C:31|D:24|E:37,5,geo_similarity;arith_proportions;geo_triangles,similarity_ratio;proportional_reasoning,scale_factor;corresponding_sides,additive_scaling_error;correspondence_error,相似三角形对应边成比例，放大倍数为 21÷7=3，所以对应边为 $10 \\times 3$=30。,CN Junior High Math,相似三角形,cn-junior-g8-similarity,八年级：相似三角形比例,22204,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0095; pages=269-274; lesson=18; column=thinking_training,AMC8,AMC8 Transfer,cn_similarity_scale_factor,multiplicative_reasoning;structure_recognition,150,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_006,两个三角形相似。小三角形的一组对应边为 8 和 13，大三角形中与 8 对应的边为 24，则与 13 对应的边长是多少？,39,multiple_choice,A:39|B:37|C:29|D:47|E:4,5,geo_similarity;arith_proportions;geo_triangles,similarity_ratio;proportional_reasoning,scale_factor;corresponding_sides,additive_scaling_error;correspondence_error,相似三角形对应边成比例，放大倍数为 24÷8=3，所以对应边为 $13 \\times 3$=39。,CN Junior High Math,相似三角形,cn-junior-g8-similarity,八年级：相似三角形比例,22205,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0090; pages=253-255; lesson=12; column=thinking_training,AMC8,AMC8 Transfer,cn_similarity_scale_factor,multiplicative_reasoning;structure_recognition,150,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_007,两条平行线被一条直线所截。若其中一个角为 42°，根据同位角相等，目标角是多少度？,42,multiple_choice,A:138|B:52|C:32|D:47|E:42,3,geo_angles;geo_triangles,angle_chasing;parallel_line_angles,parallel_lines;angle_relationships,supplementary_vs_equal_error;angle_relation_mismatch,平行线形成的同位角相等，所以目标角为 42°。,CN Junior High Math,几何基础,cn-junior-g8-parallel-angles,八年级：平行线角度关系,22206,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0085; pages=240-243; lesson=2; column=thinking_training,Standard,Bridge,cn_parallel_angle_chasing,geometric_reasoning;relation_selection,110,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_008,两条平行线被一条直线所截。若其中一个角为 58°，根据同位角相等，目标角是多少度？,58,multiple_choice,A:68|B:48|C:63|D:58|E:122,3,geo_angles;geo_triangles,angle_chasing;parallel_line_angles,parallel_lines;angle_relationships,supplementary_vs_equal_error;angle_relation_mismatch,平行线形成的同位角相等，所以目标角为 58°。,CN Junior High Math,几何基础,cn-junior-g8-parallel-angles,八年级：平行线角度关系,22207,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0089; pages=252-253; lesson=11; column=thinking_training,Standard,Bridge,cn_parallel_angle_chasing,geometric_reasoning;relation_selection,110,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_009,两条平行线被一条直线所截。若其中一个角为 73°，根据同位角相等，目标角是多少度？,73,multiple_choice,A:63|B:78|C:73|D:107|E:83,3,geo_angles;geo_triangles,angle_chasing;parallel_line_angles,parallel_lines;angle_relationships,supplementary_vs_equal_error;angle_relation_mismatch,平行线形成的同位角相等，所以目标角为 73°。,CN Junior High Math,几何基础,cn-junior-g8-parallel-angles,八年级：平行线角度关系,22208,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0005; pages=11-15; lesson=unknown; column=competition_boost,Standard,Bridge,cn_parallel_angle_chasing,geometric_reasoning;relation_selection,110,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g8_b3_010,两条平行线被一条直线所截。若其中一个角为 106°，根据邻补角互补，目标角是多少度？,74,multiple_choice,A:79|B:74|C:106|D:84|E:64,4,geo_angles;geo_triangles,angle_chasing;parallel_line_angles,parallel_lines;angle_relationships,supplementary_vs_equal_error;angle_relation_mismatch,邻补角和为 180°，所以目标角为 180°-106°=74°。,CN Junior High Math,几何基础,cn-junior-g8-parallel-angles,八年级：平行线角度关系,22209,jianzisheng_cn_junior_grade8_batch3_v0,尖子生高分题库8年级.pdf; block=grade8_b0039; pages=107-111; lesson=unknown; column=competition_boost,Standard,Bridge,cn_parallel_angle_chasing,geometric_reasoning;relation_selection,130,Grade 8 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
